execution_batch_id,source_role_batch_id,owner_role,gate_id,task_group,task_count,blocking_count,evidence_rows,closure_rows,source_paths,suggested_sequence,execution_status,next_source_evidence_file,next_source_closure_file,not_imported,not_real_record
GCEB-012,GCB-012,技术负责人/文件管理员,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,12,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-013,GCB-013,技术负责人/相关过程负责人/质量负责人,GR-02,manual_clause,11,0,11,11,human_review_workbench/decision_update_template.csv,13,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-014,GCB-014,技术负责人/质量负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,14,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-015,GCB-015,授权签字人,GR-07,staff_learning_task,1,0,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,15,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-016,GCB-016,文件管理员,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,16,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-017,GCB-017,文件管理员,GR-04,manual_revision_decision,1,0,1,1,manual_revision_path_pack/04-人工决策闸门.csv,17,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-018,GCB-018,文件管理员,GR-06,release_execution_template_review,2,0,2,2,release_execution_template_pack/01-发布执行记录模板索引.csv,18,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-019,GCB-019,文件管理员,GR-07,staff_learning_task,28,0,28,28,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,19,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-020,GCB-020,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,GR-05,controlled_release_approval,28,0,28,28,controlled_release_rehearsal/02-审批签核演练清单.csv,20,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-021,GCB-021,文件管理员/相关过程负责人/质量负责人,GR-02,preapply_gate,1,0,1,1,human_review_workbench/decision_update_template.csv,21,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-022,GCB-022,文件管理员/相关过程负责人/质量负责人,GR-02,record_template,26,0,26,26,human_review_workbench/decision_update_template.csv,22,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-023,GCB-023,文件管理员/设备管理员/技术负责人,GR-02,preapply_gate,1,0,1,1,human_review_workbench/decision_update_template.csv,23,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-024,GCB-024,文件管理员/设备管理员/技术负责人/质量负责人,GR-02,attachment_form_disposition,1,0,1,1,human_review_workbench/decision_update_template.csv,24,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-025,GCB-025,文件管理员/质量负责人,GR-02,preapply_gate,1,0,1,1,human_review_workbench/decision_update_template.csv,25,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-026,GCB-026,文件管理员/质量负责人,GR-03,record_template_field_confirmation,2,0,2,2,record_template_field_catalog/01-模板字段索引.csv,26,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-027,GCB-027,文件管理员/质量负责人,GR-04,manual_revision_decision,1,0,1,1,manual_revision_path_pack/04-人工决策闸门.csv,27,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-028,GCB-028,文件管理员/质量负责人,GR-06,release_execution_template_review,1,0,1,1,release_execution_template_pack/01-发布执行记录模板索引.csv,28,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-029,GCB-029,文件管理员/质量负责人/最高管理者,GR-02,preapply_gate,1,0,1,1,human_review_workbench/decision_update_template.csv,29,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-030,GCB-030,最高管理者/技术负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,30,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-031,GCB-031,最高管理者/质量负责人,GR-02,manual_clause,3,0,3,3,human_review_workbench/decision_update_template.csv,31,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-032,GCB-032,最高管理者/质量负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,32,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-033,GCB-033,最高管理者/质量负责人,GR-04,manual_revision_decision,1,0,1,1,manual_revision_path_pack/04-人工决策闸门.csv,33,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-034,GCB-034,样品管理员,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,34,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-035,GCB-035,检测人员/监督员,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,35,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-036,GCB-036,用户/总控,GR-13,user_authorization,1,0,1,1,.team/任务板.md,36,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-037,GCB-037,用户/最高管理者授权角色,GR-02,preapply_gate,1,0,1,1,human_review_workbench/decision_update_template.csv,37,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-038,GCB-038,相关过程负责人,GR-07,staff_learning_task,1,0,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,38,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-039,GCB-039,管理层,GR-07,staff_learning_task,1,0,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,39,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-040,GCB-040,系统管理员,GR-07,staff_learning_task,1,0,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,40,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-041,GCB-041,系统管理员/文件管理员,GR-04,manual_revision_decision,1,0,1,1,manual_revision_path_pack/04-人工决策闸门.csv,41,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-042,GCB-042,系统管理员/文件管理员/质量负责人,GR-10,write_preview_review,1,0,1,1,lims_write_preview_package/write_preview_manifest.json,42,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-043,GCB-043,设备管理员,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,43,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-044,GCB-044,设备管理员/技术负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,44,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-045,GCB-045,设备管理员/技术负责人/质量负责人,GR-02,manual_clause,2,0,2,2,human_review_workbench/decision_update_template.csv,45,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-046,GCB-046,试运行人员,GR-07,staff_learning_task,1,0,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,46,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-047,GCB-047,责任部门/质量负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,47,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-048,GCB-048,质量负责人,GR-03,record_template_field_confirmation,3,0,3,3,record_template_field_catalog/01-模板字段索引.csv,48,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-049,GCB-049,质量负责人,GR-07,staff_learning_task,2,0,2,2,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,49,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-050,GCB-050,质量负责人/内审员/过程负责人,GR-06,release_execution_template_review,1,0,1,1,release_execution_template_pack/01-发布执行记录模板索引.csv,50,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-051,GCB-051,质量负责人/技术负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,51,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-052,GCB-052,质量负责人/技术负责人/文件管理员,GR-11,stage2_structured_review,154,0,154,154,stage2_structured_review_workbench/05-人工复核意见回填模板.csv,52,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-053,GCB-053,质量负责人/文件管理员,GR-04,manual_revision_decision,1,0,1,1,manual_revision_path_pack/04-人工决策闸门.csv,53,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-054,GCB-054,质量负责人/文件管理员/培训责任人,GR-06,release_execution_template_review,1,0,1,1,release_execution_template_pack/01-发布执行记录模板索引.csv,54,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-055,GCB-055,质量负责人/文件管理员/最高管理者,GR-02,manual_clause,9,0,9,9,human_review_workbench/decision_update_template.csv,55,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-056,GCB-056,质量负责人/相关过程负责人,GR-02,manual_clause,4,0,4,4,human_review_workbench/decision_update_template.csv,56,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-057,GCB-057,质量负责人/系统管理员/文件管理员,GR-06,release_execution_template_review,1,0,1,1,release_execution_template_pack/01-发布执行记录模板索引.csv,57,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-058,GCB-058,质量负责人；文件管理员；相关过程负责人,GR-08,comprehension_question,12,0,12,12,staff_training_implementation_pack/03-理解确认题库.csv,58,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-059,GCB-059,过程负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,59,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
GCEB-060,GCB-060,采购/质量负责人,GR-03,record_template_field_confirmation,1,0,1,1,record_template_field_catalog/01-模板字段索引.csv,60,completed,governance_closure_workbench/03-证据采集模板.csv,governance_closure_workbench/04-拟关闭回填模板.csv,yes,yes
