handoff_check_id,execution_batch_id,owner_role,gate_id,task_group,required_input_files,required_fields,downstream_preview,downstream_refresh,check_status,blocks_apply,not_imported,not_real_record
GCEH-001,GCEB-001,Codex dry-run/文件管理员复核,GR-02,preapply_gate,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-012,GCEB-012,技术负责人/文件管理员,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-013,GCEB-013,技术负责人/相关过程负责人/质量负责人,GR-02,manual_clause,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-014,GCEB-014,技术负责人/质量负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-015,GCEB-015,授权签字人,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-016,GCEB-016,文件管理员,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-017,GCEB-017,文件管理员,GR-04,manual_revision_decision,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-018,GCEB-018,文件管理员,GR-06,release_execution_template_review,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-019,GCEB-019,文件管理员,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-020,GCEB-020,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,GR-05,controlled_release_approval,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-021,GCEB-021,文件管理员/相关过程负责人/质量负责人,GR-02,preapply_gate,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-022,GCEB-022,文件管理员/相关过程负责人/质量负责人,GR-02,record_template,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-023,GCEB-023,文件管理员/设备管理员/技术负责人,GR-02,preapply_gate,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-024,GCEB-024,文件管理员/设备管理员/技术负责人/质量负责人,GR-02,attachment_form_disposition,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-025,GCEB-025,文件管理员/质量负责人,GR-02,preapply_gate,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-026,GCEB-026,文件管理员/质量负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-027,GCEB-027,文件管理员/质量负责人,GR-04,manual_revision_decision,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-028,GCEB-028,文件管理员/质量负责人,GR-06,release_execution_template_review,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-029,GCEB-029,文件管理员/质量负责人/最高管理者,GR-02,preapply_gate,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-030,GCEB-030,最高管理者/技术负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-031,GCEB-031,最高管理者/质量负责人,GR-02,manual_clause,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-032,GCEB-032,最高管理者/质量负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-033,GCEB-033,最高管理者/质量负责人,GR-04,manual_revision_decision,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-034,GCEB-034,样品管理员,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-035,GCEB-035,检测人员/监督员,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-036,GCEB-036,用户/总控,GR-13,user_authorization,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-037,GCEB-037,用户/最高管理者授权角色,GR-02,preapply_gate,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-038,GCEB-038,相关过程负责人,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-039,GCEB-039,管理层,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-040,GCEB-040,系统管理员,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-041,GCEB-041,系统管理员/文件管理员,GR-04,manual_revision_decision,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-042,GCEB-042,系统管理员/文件管理员/质量负责人,GR-10,write_preview_review,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-043,GCEB-043,设备管理员,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-044,GCEB-044,设备管理员/技术负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-045,GCEB-045,设备管理员/技术负责人/质量负责人,GR-02,manual_clause,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-046,GCEB-046,试运行人员,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-047,GCEB-047,责任部门/质量负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-048,GCEB-048,质量负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-049,GCEB-049,质量负责人,GR-07,staff_learning_task,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-050,GCEB-050,质量负责人/内审员/过程负责人,GR-06,release_execution_template_review,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-051,GCEB-051,质量负责人/技术负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-052,GCEB-052,质量负责人/技术负责人/文件管理员,GR-11,stage2_structured_review,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-053,GCEB-053,质量负责人/文件管理员,GR-04,manual_revision_decision,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-054,GCEB-054,质量负责人/文件管理员/培训责任人,GR-06,release_execution_template_review,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-055,GCEB-055,质量负责人/文件管理员/最高管理者,GR-02,manual_clause,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-056,GCEB-056,质量负责人/相关过程负责人,GR-02,manual_clause,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-057,GCEB-057,质量负责人/系统管理员/文件管理员,GR-06,release_execution_template_review,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-058,GCEB-058,质量负责人；文件管理员；相关过程负责人,GR-08,comprehension_question,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-059,GCEB-059,过程负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
GCEH-060,GCEB-060,采购/质量负责人,GR-03,record_template_field_confirmation,03-证据采集模板.csv | 04-拟关闭回填模板.csv,evidence_reference | closure_comment | reviewer | review_date,governance_closure_decision_preview,governance_readiness_refresh_preview,completed,no,yes,yes
