review_item_id,review_type,doc_number,name,applicable_clauses,procedure_doc_numbers,attachment_form_doc_numbers,responsible_position,trigger_time,field_count,missing_common_schema_keys,needs_current_form_match,needs_retention_period,needs_confidentiality_level,reviewer_role,human_decision,blocking_if_unresolved,review_note
TEMPLATE-JL-7.3-01,record_template,JL-7.3-01,抽样条件启用评审记录,7.3,XZTC/CX-09-2022；XZTC/CX-28-2022；XZTC/CX-35-2022,,技术负责人/业务受理,合同或标准要求公司承担抽样时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.4-01,record_template,JL-7.4-01,样品接收与异常处置记录,7.4,XZTC/CX-06-2022；XZTC/CX-25-2022；XZTC/CX-28-2022,,样品管理员,样品接收、流转、异常发现时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.5-01,record_template,JL-7.5-01,技术记录更正记录,7.5、8.4,XZTC/CX-06-2022；XZTC/CX-19-2022；XZTC/CX-25-2022；XZTC/CX-26-2022,,原记录人员/复核人员,原始记录或电子记录需更正时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.6-01,record_template,JL-7.6-01,测量不确定度适用性评审记录,7.6、7.8,XZTC/CX-06-2022；XZTC/CX-22-2022；XZTC/CX-26-2022；XZTC/CX-27-2022；XZTC/CX-29-2022；XZTC/CX-30-2022,,技术负责人,方法确认、报告符合性声明或客户要求时,16,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.7-01,record_template,JL-7.7-01,结果有效性监控计划与评价记录,7.7,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,,技术负责人/质量负责人,年度策划、质控活动后,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.8-01,record_template,JL-7.8-01,报告复核与授权签发记录,7.8,XZTC/CX-06-2022；XZTC/CX-26-2022；XZTC/CX-29-2022,,复核人/授权签字人,报告发布前、报告修订时,16,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.9-01,record_template,JL-7.9-01,投诉处理记录,7.9,XZTC/CX-14-2022；XZTC/CX-15-2022；XZTC/CX-16-2022,,质量负责人,投诉接收至关闭全过程,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.10-01,record_template,JL-7.10-01,不符合工作影响评价与恢复授权记录,7.10,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-32-2022,,质量负责人/技术负责人,不符合发生、处置和恢复时,16,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-7.11-01,record_template,JL-7.11-01,电子表格/软件适用性确认记录,7.11,XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,技术负责人/文件管理员,模板或软件投入使用及变更前,18,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-8.3-01,record_template,JL-8.3-01,文件修订评审与发布记录,8.3,XZTC/CX-08-2022；XZTC/CX-26-2022,,文件管理员/质量负责人,文件编制、修订、废止时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-8.4-01,record_template,JL-8.4-01,记录归档与借阅记录,8.4,XZTC/CX-06-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,,文件管理员,记录归档、查阅、借阅和销毁时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-8.5-01,record_template,JL-8.5-01,风险和机遇措施跟踪记录,8.5,XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,,质量负责人,风险措施实施及评价时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-8.6-01,record_template,JL-8.6-01,改进建议与效果评价记录,8.6,XZTC/CX-12-2022；XZTC/CX-18-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,,过程负责人,改进机会提出和完成后,16,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-8.7-01,record_template,JL-8.7-01,纠正措施记录,8.7,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-20-2022,,责任部门/质量负责人,不符合、投诉、审核发现需纠正措施时,16,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-8.8-01,record_template,JL-8.8-01,内审计划、检查表与整改验证记录,8.8,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-19-2022；XZTC/CX-20-2022,,内审组长,年度内审、专项内审时,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
TEMPLATE-JL-8.9-01,record_template,JL-8.9-01,管理评审输入输出及跟踪记录,8.9,XZTC/CX-16-2022；XZTC/CX-19-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,,最高管理者/质量负责人,管理评审前后,17,,yes,yes,yes,文件管理员/相关过程负责人/质量负责人,确认通过,yes,字段 schema 为候选；需与现用表单、试填结果、保存期限和签核规则核对。；SIMULATED_APPROVAL_NOT_REAL_REVIEW: 仅用于 apply-rehearsal 非写库演练；不代表真实人工批准，不得作为正式写库依据。
