template_code,template_name,field_order,field_key,field_label,field_type,required,field_group,default_value,review_focus
JL-REL-04,旧版文件回收作废与留存记录,2,record_name,记录名称,text,yes,common,旧版文件回收作废与留存记录,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,3,applicable_clause,适用条款,text,yes,common,8.3、8.4,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-08-2022；XZTC/CX-19-2022,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,5,responsible_position,填写责任,text,yes,common,文件管理员,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,6,trigger_time,形成时机,text,yes,common,新版文件生效、旧版文件回收、作废留存或销毁时,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,7,reviewer,复核/批准,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,8,approval_status,审批/确认状态,select,yes,common,pending,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,9,evidence_reference,证据位置,text,yes,common,04-旧版处置演练清单.csv,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,10,storage_location,保存位置,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,11,retention_period,保存期限,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,12,confidentiality_level,保密等级,select,no,common,待确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,13,correction_rule,更正规则,text,yes,common,保留原始信息、更正原因、更正日期、责任人和复核痕迹。,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,14,not_real_record_marker,非真实记录标识,text,yes,common,SIMULATED_TRIAL_NOT_REAL_RECORD,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-04,旧版文件回收作废与留存记录,15,obsolete_object,作废对象,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-04,旧版文件回收作废与留存记录,16,old_version,旧版版本/编号,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-04,旧版文件回收作废与留存记录,17,recycle_method,回收或作废方式,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-04,旧版文件回收作废与留存记录,18,retained_copy_location,作废留存位置,text,no,specific,待人工确认,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-04,旧版文件回收作废与留存记录,19,disposal_result,处置结果,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-04,旧版文件回收作废与留存记录,20,verifier,验证人,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-05,实施有效性检查与问题跟踪记录,1,record_number,记录编号,text,yes,common,,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,2,record_name,记录名称,text,yes,common,实施有效性检查与问题跟踪记录,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,3,applicable_clause,适用条款,text,yes,common,8.6、8.8、8.9,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-18-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,5,responsible_position,填写责任,text,yes,common,质量负责人/内审员/过程负责人,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,6,trigger_time,形成时机,text,yes,common,新版体系文件或记录模板试运行后、内审或管理评审输入前,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,7,reviewer,复核/批准,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,8,approval_status,审批/确认状态,select,yes,common,pending,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,9,evidence_reference,证据位置,text,yes,common,07-实施有效性检查清单.csv,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,10,storage_location,保存位置,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,11,retention_period,保存期限,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,12,confidentiality_level,保密等级,select,no,common,待确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,13,correction_rule,更正规则,text,yes,common,保留原始信息、更正原因、更正日期、责任人和复核痕迹。,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,14,not_real_record_marker,非真实记录标识,text,yes,common,SIMULATED_TRIAL_NOT_REAL_RECORD,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-05,实施有效性检查与问题跟踪记录,15,process_checked,检查过程,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-05,实施有效性检查与问题跟踪记录,16,sample_scope,抽查范围,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-05,实施有效性检查与问题跟踪记录,17,acceptance_criteria,验收准则,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-05,实施有效性检查与问题跟踪记录,18,findings,发现问题,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-05,实施有效性检查与问题跟踪记录,19,action_required,需采取措施,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-05,实施有效性检查与问题跟踪记录,20,closure_status,关闭状态,select,yes,specific,pending,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-06,jewelry-qms试运行与适用性确认记录,1,record_number,记录编号,text,yes,common,,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,2,record_name,记录名称,text,yes,common,jewelry-qms试运行与适用性确认记录,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,3,applicable_clause,适用条款,text,yes,common,7.11、8.3、8.4,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,5,responsible_position,填写责任,text,yes,common,质量负责人/系统管理员/文件管理员,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,6,trigger_time,形成时机,text,yes,common,jewelry-qms 试运行、功能变更或拟纳入体系运行前,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,7,reviewer,复核/批准,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,8,approval_status,审批/确认状态,select,yes,common,pending,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,9,evidence_reference,证据位置,text,yes,common,07-实施有效性检查清单.csv,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,10,storage_location,保存位置,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,11,retention_period,保存期限,text,no,common,待人工确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,12,confidentiality_level,保密等级,select,no,common,待确认,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,13,correction_rule,更正规则,text,yes,common,保留原始信息、更正原因、更正日期、责任人和复核痕迹。,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,14,not_real_record_marker,非真实记录标识,text,yes,common,SIMULATED_TRIAL_NOT_REAL_RECORD,通用治理字段，正式启用前需由文件管理员确认。
JL-REL-06,jewelry-qms试运行与适用性确认记录,15,system_function,系统功能,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-06,jewelry-qms试运行与适用性确认记录,16,validation_scope,适用性确认范围,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-06,jewelry-qms试运行与适用性确认记录,17,access_control_check,权限控制检查,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-06,jewelry-qms试运行与适用性确认记录,18,audit_trail_check,审计追踪检查,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-06,jewelry-qms试运行与适用性确认记录,19,backup_restore_check,备份恢复检查,text,yes,specific,,需人工确认字段含义、填写责任、保存和复核要求。
JL-REL-06,jewelry-qms试运行与适用性确认记录,20,go_live_recommendation,纳入体系运行建议,select,yes,specific,pending,需人工确认字段含义、填写责任、保存和复核要求。
