action,target_table,document_role,doc_number,title,version,source_status,status,markdown_path,review_note
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-22-2022,检测方法的选择与确认程序,2022,current,structured,现用文件/程序文件/程序文件2022/22-2022检测方法的选择与确认程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-23-2022,允许方法偏离控制程序,2022,current,structured,现用文件/程序文件/程序文件2022/23-2022允许方法偏离控制程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-24-2022,开展新项目评审程序,2022,current,structured,现用文件/程序文件/程序文件2022/24-2022开展新项目评审程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-25-2022,检测工作控制程序,2022,current,structured,现用文件/程序文件/程序文件2022/25-2022检测工作控制程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-26-2022,计算机文件及数据控制程序,2022,current,structured,现用文件/程序文件/程序文件2022/26-2022计算机文件及数据控制程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-27-2022,测量不确定度的评审控制程序,2022,current,structured,现用文件/程序文件/程序文件2022/27-2022测量不确定度的评审控制程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-28-2022,样品处置和管理程序,2022,current,structured,现用文件/程序文件/程序文件2022/28-2022样品处置和管理程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-29-2022,结果报告管理程序,2022,current,structured,现用文件/程序文件/程序文件2022/29-2022结果报告管理程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-30-2022,检测结果质量控制及能力验证程序,2022,current,structured,现用文件/程序文件/程序文件2022/30-2022检测结果质量控制及能力验证程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-31-2022,检测工作的监督程序,2022,current,structured,现用文件/程序文件/程序文件2022/31-2022检测工作的监督程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-32-2022,风险评估控制程序,2022,current,structured,现用文件/程序文件/程序文件2022/32-2022风险评估控制程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-33-2022,内务与安全管理程序,2022,current,structured,现用文件/程序文件/程序文件2022/33-2022内务与安全管理程序.docx,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-34-2022,内部监控管理程序,2022,current,structured,现用文件/程序文件/程序文件2022/34-2022内部监控管理程序.doc,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_current,qms_structured_documents,procedure,XZTC/CX-35-2022,抽样控制程序,2022,current,structured,现用文件/程序文件/程序文件2022/35-2022抽样控制程序.doc,用户确认以 LIMS 当前导出的 2022 程序清单作为现行程序目录。
reference_existing_attachment_form,qms_structured_documents,record_form,XZTC/CX-05-02-2022,仪器设备计量溯源结果确认表,2022,draft,draft,现用文件/程序文件/程序文件2022/05-02-2022仪器设备计量溯源结果确认表.docx,LIMS 导出 2022 清单中的编号附件/表单；不作为程序文件自动匹配，需人工确认归入记录模板或程序附件。
candidate_record_template_document,qms_structured_documents,record_form,JL-4.1-01,公正性风险识别与处置记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-4.2-01,保密承诺与权限确认记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-5-01,岗位职责与授权确认表,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-6.2-01,人员能力确认与授权记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-6.3-01,环境条件监控与异常处置记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-6.4-01,设备状态与期间核查记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-6.5-01,计量溯源结果确认记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-6.6-01,外部服务与供应品评价记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.1-01,合同评审记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.2-01,方法验证/确认记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.3-01,抽样条件启用评审记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.4-01,样品接收与异常处置记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.5-01,技术记录更正记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.6-01,测量不确定度适用性评审记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.7-01,结果有效性监控计划与评价记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.8-01,报告复核与授权签发记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.9-01,投诉处理记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.10-01,不符合工作影响评价与恢复授权记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-7.11-01,电子表格/软件适用性确认记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-8.3-01,文件修订评审与发布记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-8.4-01,记录归档与借阅记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-8.5-01,风险和机遇措施跟踪记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-8.6-01,改进建议与效果评价记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-8.7-01,纠正措施记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-8.8-01,内审计划、检查表与整改验证记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
candidate_record_template_document,qms_structured_documents,record_form,JL-8.9-01,管理评审输入输出及跟踪记录,候选,draft,draft,13-记录模板包-候选清单.md,第五版候选手册记录证据链候选模板。
