template_code,template_name,field_order,field_key,field_label,field_type,required,field_group,default_value,note,trial_value_present,trial_value,human_confirmation_required,review_focus
JL-5-01,岗位职责与授权确认表,15,specific_04_e2b87c04,替代人,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：替代人待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-5-01,岗位职责与授权确认表,16,specific_05_00e778c5,授权范围,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：授权范围待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-5-01,岗位职责与授权确认表,17,specific_06_d642f8ef,生效日期,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：生效日期待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.2-01,人员能力确认与授权记录,1,record_number,记录编号,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,SIM-JL-6.2-01-20260707-001,yes,候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,2,record_name,记录名称,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,人员能力确认与授权记录,yes,候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,3,applicable_clause,适用条款,text,yes,common,6.2,候选模板通用字段，正式启用前需由文件管理员确认。,yes,6.2,yes,候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022,候选模板通用字段，正式启用前需由文件管理员确认。,yes,XZTC/CX-01-02-2022；XZTC/CX-01-2022；XZTC/CX-31-2022,yes,候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,5,responsible_position,填写责任,text,yes,common,技术负责人,候选模板通用字段，正式启用前需由文件管理员确认。,yes,技术负责人,yes,候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,6,trigger_time,形成时机,text,yes,common,上岗、扩项、复授权时,候选模板通用字段，正式启用前需由文件管理员确认。,yes,上岗、扩项、复授权时,yes,候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,7,reviewer,复核/批准,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,8,storage_location,保存位置,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,9,retention_period,保存期限,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,10,confidentiality_level,保密等级,select,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,11,correction_rule,更正规则,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD,yes,候选字段需文件管理员确认
JL-6.2-01,人员能力确认与授权记录,12,specific_01_d89b0e09,岗位能力要求,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：岗位能力要求待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.2-01,人员能力确认与授权记录,13,specific_02_4640b537,培训,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：培训待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.2-01,人员能力确认与授权记录,14,specific_03_d0421e5d,考核,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：考核待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.2-01,人员能力确认与授权记录,15,specific_04_d4408364,监督,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：监督待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.2-01,人员能力确认与授权记录,16,specific_05_58f06331,授权活动,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：授权活动待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.2-01,人员能力确认与授权记录,17,specific_06_222460c0,有效期,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：有效期待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.3-01,环境条件监控与异常处置记录,1,record_number,记录编号,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,SIM-JL-6.3-01-20260707-001,yes,候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,2,record_name,记录名称,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,环境条件监控与异常处置记录,yes,候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,3,applicable_clause,适用条款,text,yes,common,6.3,候选模板通用字段，正式启用前需由文件管理员确认。,yes,6.3,yes,候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022,候选模板通用字段，正式启用前需由文件管理员确认。,yes,XZTC/CX-02-2022；XZTC/CX-31-2022；XZTC/CX-33-2022,yes,候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,5,responsible_position,填写责任,text,yes,common,检测人员/监督员,候选模板通用字段，正式启用前需由文件管理员确认。,yes,检测人员/监督员,yes,候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,6,trigger_time,形成时机,text,yes,common,每日/每班/方法要求频次及异常时,候选模板通用字段，正式启用前需由文件管理员确认。,yes,每日/每班/方法要求频次及异常时,yes,候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,7,reviewer,复核/批准,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,8,storage_location,保存位置,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,9,retention_period,保存期限,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,10,confidentiality_level,保密等级,select,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,11,correction_rule,更正规则,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD,yes,候选字段需文件管理员确认
JL-6.3-01,环境条件监控与异常处置记录,12,specific_01_17fc93c9,区域,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：区域待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.3-01,环境条件监控与异常处置记录,13,specific_02_72f1cf75,条件,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：条件待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.3-01,环境条件监控与异常处置记录,14,specific_03_7b4579f0,限值,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：限值待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.3-01,环境条件监控与异常处置记录,15,specific_04_27352490,实测值,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：实测值待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.3-01,环境条件监控与异常处置记录,16,specific_05_5caf2793,异常,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：异常待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.3-01,环境条件监控与异常处置记录,17,specific_06_4f136db2,处置,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：处置待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.3-01,环境条件监控与异常处置记录,18,specific_07_b38c92c3,复核,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：复核待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.4-01,设备状态与期间核查记录,1,record_number,记录编号,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,SIM-JL-6.4-01-20260707-001,yes,候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,2,record_name,记录名称,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,设备状态与期间核查记录,yes,候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,3,applicable_clause,适用条款,text,yes,common,6.4、7.7,候选模板通用字段，正式启用前需由文件管理员确认。,yes,6.4、7.7,yes,候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022；XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,候选模板通用字段，正式启用前需由文件管理员确认。,yes,XZTC/CX-03-02-2022；XZTC/CX-03-2022；XZTC/CX-04-2022；XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,yes,候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,5,responsible_position,填写责任,text,yes,common,设备管理员,候选模板通用字段，正式启用前需由文件管理员确认。,yes,设备管理员,yes,候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,6,trigger_time,形成时机,text,yes,common,设备使用前、期间核查、异常恢复时,候选模板通用字段，正式启用前需由文件管理员确认。,yes,设备使用前、期间核查、异常恢复时,yes,候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,7,reviewer,复核/批准,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,8,storage_location,保存位置,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,9,retention_period,保存期限,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,10,confidentiality_level,保密等级,select,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,11,correction_rule,更正规则,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD,yes,候选字段需文件管理员确认
JL-6.4-01,设备状态与期间核查记录,12,specific_01_fb8e101e,设备编号,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：设备编号待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.4-01,设备状态与期间核查记录,13,specific_02_aeabd2f4,核查项目,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：核查项目待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.4-01,设备状态与期间核查记录,14,specific_03_1a26633d,准则,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：准则待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.4-01,设备状态与期间核查记录,15,specific_04_0a2c91ce,结果,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：结果待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.4-01,设备状态与期间核查记录,16,specific_05_32b3f16d,结论,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：结论待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.4-01,设备状态与期间核查记录,17,specific_06_4f136db2,处置,text,yes,specific,,来自候选记录模板清单的关键字段，需与现用表单或试填结果复核。,yes,模拟：处置待按真实业务填写。,yes,需过程负责人确认字段含义和现用表单一致性
JL-6.5-01,计量溯源结果确认记录,1,record_number,记录编号,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,SIM-JL-6.5-01-20260707-001,yes,候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,2,record_name,记录名称,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,计量溯源结果确认记录,yes,候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,3,applicable_clause,适用条款,text,yes,common,6.5,候选模板通用字段，正式启用前需由文件管理员确认。,yes,6.5,yes,候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,4,related_procedure,关联程序,text,yes,common,XZTC/CX-03-02-2022；XZTC/CX-05-2022,候选模板通用字段，正式启用前需由文件管理员确认。,yes,XZTC/CX-03-02-2022；XZTC/CX-05-2022,yes,候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,5,responsible_position,填写责任,text,yes,common,设备管理员/技术负责人,候选模板通用字段，正式启用前需由文件管理员确认。,yes,设备管理员/技术负责人,yes,候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,6,trigger_time,形成时机,text,yes,common,校准/检定证书接收后,候选模板通用字段，正式启用前需由文件管理员确认。,yes,校准/检定证书接收后,yes,候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,7,reviewer,复核/批准,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,8,storage_location,保存位置,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,9,retention_period,保存期限,text,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待人工确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,10,confidentiality_level,保密等级,select,no,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,待确认,yes,需确认保存/保密/签核规则；试填值仍为待确认；候选字段需文件管理员确认
JL-6.5-01,计量溯源结果确认记录,11,correction_rule,更正规则,text,yes,common,,候选模板通用字段，正式启用前需由文件管理员确认。,yes,保留原始信息、更正原因、更正日期、责任人和复核痕迹；本试填为模拟数据，不作为正式更正规则。SIMULATED_TRIAL_NOT_REAL_RECORD,yes,候选字段需文件管理员确认
