template_code,template_name,applicable_clauses,procedure_doc_numbers,responsible_position,trigger_time,field_count,required_field_count,common_field_count,specific_field_count,human_confirmation_field_count,trial_markdown_file,missing_human_inputs,catalog_markdown_file
JL-7.5-01,技术记录更正记录,7.5、8.4,XZTC/CX-06-2022；XZTC/CX-19-2022；XZTC/CX-25-2022；XZTC/CX-26-2022,原记录人员/复核人员,原始记录或电子记录需更正时,17,13,11,6,17,JL-7.5-01-技术记录更正记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.5-01-技术记录更正记录-字段字典.md
JL-7.6-01,测量不确定度适用性评审记录,7.6、7.8,XZTC/CX-06-2022；XZTC/CX-22-2022；XZTC/CX-26-2022；XZTC/CX-27-2022；XZTC/CX-29-2022；XZTC/CX-30-2022,技术负责人,方法确认、报告符合性声明或客户要求时,16,12,11,5,16,JL-7.6-01-测量不确定度适用性评审记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.6-01-测量不确定度适用性评审记录-字段字典.md
JL-7.7-01,结果有效性监控计划与评价记录,7.7,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-30-2022；XZTC/CX-34-2022,技术负责人/质量负责人,年度策划、质控活动后,17,13,11,6,17,JL-7.7-01-结果有效性监控计划与评价记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.7-01-结果有效性监控计划与评价记录-字段字典.md
JL-7.8-01,报告复核与授权签发记录,7.8,XZTC/CX-06-2022；XZTC/CX-26-2022；XZTC/CX-29-2022,复核人/授权签字人,报告发布前、报告修订时,16,12,11,5,16,JL-7.8-01-报告复核与授权签发记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.8-01-报告复核与授权签发记录-字段字典.md
JL-7.9-01,投诉处理记录,7.9,XZTC/CX-14-2022；XZTC/CX-15-2022；XZTC/CX-16-2022,质量负责人,投诉接收至关闭全过程,17,13,11,6,17,JL-7.9-01-投诉处理记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.9-01-投诉处理记录-字段字典.md
JL-7.10-01,不符合工作影响评价与恢复授权记录,7.10,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-32-2022,质量负责人/技术负责人,不符合发生、处置和恢复时,16,12,11,5,16,JL-7.10-01-不符合工作影响评价与恢复授权记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.10-01-不符合工作影响评价与恢复授权记录-字段字典.md
JL-7.11-01,电子表格/软件适用性确认记录,7.11,XZTC/CX-08-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,技术负责人/文件管理员,模板或软件投入使用及变更前,18,14,11,7,18,JL-7.11-01-电子表格软件适用性确认记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-7.11-01-电子表格-软件适用性确认记录-字段字典.md
JL-8.3-01,文件修订评审与发布记录,8.3,XZTC/CX-08-2022；XZTC/CX-26-2022,文件管理员/质量负责人,文件编制、修订、废止时,17,13,11,6,17,JL-8.3-01-文件修订评审与发布记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-8.3-01-文件修订评审与发布记录-字段字典.md
JL-8.4-01,记录归档与借阅记录,8.4,XZTC/CX-06-2022；XZTC/CX-19-2022；XZTC/CX-26-2022,文件管理员,记录归档、查阅、借阅和销毁时,17,13,11,6,17,JL-8.4-01-记录归档与借阅记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-8.4-01-记录归档与借阅记录-字段字典.md
JL-8.5-01,风险和机遇措施跟踪记录,8.5,XZTC/CX-17-2022；XZTC/CX-18-2022；XZTC/CX-32-2022,质量负责人,风险措施实施及评价时,17,13,11,6,17,JL-8.5-01-风险和机遇措施跟踪记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-8.5-01-风险和机遇措施跟踪记录-字段字典.md
JL-8.6-01,改进建议与效果评价记录,8.6,XZTC/CX-12-2022；XZTC/CX-18-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,过程负责人,改进机会提出和完成后,16,12,11,5,16,JL-8.6-01-改进建议与效果评价记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-8.6-01-改进建议与效果评价记录-字段字典.md
JL-8.7-01,纠正措施记录,8.7,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-20-2022,责任部门/质量负责人,不符合、投诉、审核发现需纠正措施时,16,12,11,5,16,JL-8.7-01-纠正措施记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-8.7-01-纠正措施记录-字段字典.md
JL-8.8-01,内审计划、检查表与整改验证记录,8.8,XZTC/CX-15-2022；XZTC/CX-16-2022；XZTC/CX-19-2022；XZTC/CX-20-2022,内审组长,年度内审、专项内审时,17,13,11,6,17,JL-8.8-01-内审计划、检查表与整改验证记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-8.8-01-内审计划-检查表与整改验证记录-字段字典.md
JL-8.9-01,管理评审输入输出及跟踪记录,8.9,XZTC/CX-16-2022；XZTC/CX-19-2022；XZTC/CX-20-2022；XZTC/CX-21-2022,最高管理者/质量负责人,管理评审前后,17,13,11,6,17,JL-8.9-01-管理评审输入输出及跟踪记录-试填.md,保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,templates/JL-8.9-01-管理评审输入输出及跟踪记录-字段字典.md
