task_id,gate_id,task_group,object_code,object_name,owner_role,current_status,source_path,human_action,evidence_to_check,blocking_if_unresolved,not_real_record
GATE-08,GR-02,preapply_gate,GATE-08,26 个记录模板字段评审,文件管理员/相关过程负责人/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,pending_human_review,no,yes
GATE-09,GR-02,preapply_gate,GATE-09,05-02 编号附件/表单归属,文件管理员/设备管理员/技术负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,pending_human_review,no,yes
GATE-10,GR-02,preapply_gate,GATE-10,外来依据台账人工查新,文件管理员/质量负责人,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,pending_human_review,no,yes
GATE-11,GR-02,preapply_gate,GATE-11,用户明确授权 apply,用户/最高管理者授权角色,closed,human_review_workbench/decision_update_template.csv,填写 new_human_decision，并在 review_comment 写明依据或修订意见。,pending_human_review,no,yes
FIELD-JL-4.1-01,GR-03,record_template_field_confirmation,JL-4.1-01,公正性风险识别与处置记录,质量负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-4.2-01,GR-03,record_template_field_confirmation,JL-4.2-01,保密承诺与权限确认记录,文件管理员/质量负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 16；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-5-01,GR-03,record_template_field_confirmation,JL-5-01,岗位职责与授权确认表,最高管理者/技术负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-6.2-01,GR-03,record_template_field_confirmation,JL-6.2-01,人员能力确认与授权记录,技术负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-6.3-01,GR-03,record_template_field_confirmation,JL-6.3-01,环境条件监控与异常处置记录,检测人员/监督员,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 18；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-6.4-01,GR-03,record_template_field_confirmation,JL-6.4-01,设备状态与期间核查记录,设备管理员,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-6.5-01,GR-03,record_template_field_confirmation,JL-6.5-01,计量溯源结果确认记录,设备管理员/技术负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 16；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-6.6-01,GR-03,record_template_field_confirmation,JL-6.6-01,外部服务与供应品评价记录,采购/质量负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 16；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.1-01,GR-03,record_template_field_confirmation,JL-7.1-01,合同评审记录,业务受理/技术负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 18；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.2-01,GR-03,record_template_field_confirmation,JL-7.2-01,方法验证/确认记录,技术负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.3-01,GR-03,record_template_field_confirmation,JL-7.3-01,抽样条件启用评审记录,技术负责人/业务受理,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.4-01,GR-03,record_template_field_confirmation,JL-7.4-01,样品接收与异常处置记录,样品管理员,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.5-01,GR-03,record_template_field_confirmation,JL-7.5-01,技术记录更正记录,原记录人员/复核人员,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.6-01,GR-03,record_template_field_confirmation,JL-7.6-01,测量不确定度适用性评审记录,技术负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 16；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.7-01,GR-03,record_template_field_confirmation,JL-7.7-01,结果有效性监控计划与评价记录,技术负责人/质量负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.8-01,GR-03,record_template_field_confirmation,JL-7.8-01,报告复核与授权签发记录,复核人/授权签字人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 16；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.9-01,GR-03,record_template_field_confirmation,JL-7.9-01,投诉处理记录,质量负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.10-01,GR-03,record_template_field_confirmation,JL-7.10-01,不符合工作影响评价与恢复授权记录,质量负责人/技术负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 16；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-7.11-01,GR-03,record_template_field_confirmation,JL-7.11-01,电子表格/软件适用性确认记录,技术负责人/文件管理员,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 18；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-8.3-01,GR-03,record_template_field_confirmation,JL-8.3-01,文件修订评审与发布记录,文件管理员/质量负责人,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
FIELD-JL-8.4-01,GR-03,record_template_field_confirmation,JL-8.4-01,记录归档与借阅记录,文件管理员,closed,record_template_field_catalog/01-模板字段索引.csv,确认本模板字段字典和试填样表，必要时提出字段增删改名或保存规则调整。,需确认字段数 17；缺口：保存位置；保存期限；保密等级；现用表单一致性；责任岗位签核规则,no,yes
