preview_action,target_table,write_now,company_id,id_policy,structured_document_resolution,document_id_resolution,stable_key,section_number,title,block_type,markdown_policy,sort_order,source_locator,status_plan,publish_plan,soft_delete_plan,link_confidence,phase_dependency
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_2,7.2,方法,control_requirement,extract_from_candidate_manual_after_human_review,11,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_3,7.3,抽样,control_requirement,extract_from_candidate_manual_after_human_review,12,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_4,7.4,样品处置,control_requirement,extract_from_candidate_manual_after_human_review,13,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_5,7.5,技术记录,control_requirement,extract_from_candidate_manual_after_human_review,14,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_6,7.6,测量不确定度,control_requirement,extract_from_candidate_manual_after_human_review,15,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_7,7.7,结果有效性,control_requirement,extract_from_candidate_manual_after_human_review,16,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_8,7.8,报告结果,control_requirement,extract_from_candidate_manual_after_human_review,17,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_9,7.9,投诉,control_requirement,extract_from_candidate_manual_after_human_review,18,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_10,7.10,不符合工作,control_requirement,extract_from_candidate_manual_after_human_review,19,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_7_11,7.11,数据控制与信息管理,control_requirement,extract_from_candidate_manual_after_human_review,20,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_1,8.1,管理体系方式,control_requirement,extract_from_candidate_manual_after_human_review,21,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_2,8.2,管理体系文件,control_requirement,extract_from_candidate_manual_after_human_review,22,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_3,8.3,文件控制,control_requirement,extract_from_candidate_manual_after_human_review,23,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_4,8.4,记录控制,control_requirement,extract_from_candidate_manual_after_human_review,24,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_5,8.5,风险和机遇,control_requirement,extract_from_candidate_manual_after_human_review,25,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_6,8.6,改进,control_requirement,extract_from_candidate_manual_after_human_review,26,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_7,8.7,纠正措施,control_requirement,extract_from_candidate_manual_after_human_review,27,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_8,8.8,内部审核,control_requirement,extract_from_candidate_manual_after_human_review,28,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
create_manual_block_after_manual_revision,qms_document_blocks,no,00000000-0000-0000-0000-000000000001,qms_uuid_at_stage2_apply_time,candidate_structured_document_at_stage2_apply,existing_document:9b79eb27-fc6c-49df-861a-be8519c3c101,manual_v5_candidate_8_9,8.9,管理评审,control_requirement,extract_from_candidate_manual_after_human_review,29,10-质量手册第五版候选稿.md,effective_after_approval,after_human_review,0,review_required,manual_revision_human_decision_required
