closure_item_id,source_task_id,gate_id,task_group,object_code,object_name,owner_role,source_current_status,proposed_closure_status,evidence_reference,closure_comment,reviewer,review_date,closure_result,blocks_apply,not_imported,not_real_record
GC-0048,TEMPLATE-JL-7.11-01,GR-02,record_template,TEMPLATE-JL-7.11-01,JL-7.11-01 电子表格/软件适用性确认记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-048,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0049,TEMPLATE-JL-8.3-01,GR-02,record_template,TEMPLATE-JL-8.3-01,JL-8.3-01 文件修订评审与发布记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-049,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0050,TEMPLATE-JL-8.4-01,GR-02,record_template,TEMPLATE-JL-8.4-01,JL-8.4-01 记录归档与借阅记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-050,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0051,TEMPLATE-JL-8.5-01,GR-02,record_template,TEMPLATE-JL-8.5-01,JL-8.5-01 风险和机遇措施跟踪记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-051,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0052,TEMPLATE-JL-8.6-01,GR-02,record_template,TEMPLATE-JL-8.6-01,JL-8.6-01 改进建议与效果评价记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-052,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0053,TEMPLATE-JL-8.7-01,GR-02,record_template,TEMPLATE-JL-8.7-01,JL-8.7-01 纠正措施记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-053,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0054,TEMPLATE-JL-8.8-01,GR-02,record_template,TEMPLATE-JL-8.8-01,JL-8.8-01 内审计划、检查表与整改验证记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-054,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0055,TEMPLATE-JL-8.9-01,GR-02,record_template,TEMPLATE-JL-8.9-01,JL-8.9-01 管理评审输入输出及跟踪记录,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-055,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0056,ATTACHMENT-XZTC/CX-05-02-2022,GR-02,attachment_form_disposition,ATTACHMENT-XZTC/CX-05-02-2022,XZTC/CX-05-02-2022 仪器设备计量溯源结果确认表,文件管理员/设备管理员/技术负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-056,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0057,GATE-01,GR-02,preapply_gate,GATE-01,候选修订包门禁,Codex dry-run/文件管理员复核,pending,closed,TEST-COMPLETE-CLOSURE-057,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0058,GATE-02,GR-02,preapply_gate,GATE-02,LIMS 预导入包结构 dry-run,Codex dry-run/文件管理员复核,pending,closed,TEST-COMPLETE-CLOSURE-058,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0059,GATE-03,GR-02,preapply_gate,GATE-03,记录模板模拟试填,Codex dry-run/文件管理员复核,pending,closed,TEST-COMPLETE-CLOSURE-059,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0060,GATE-04,GR-02,preapply_gate,GATE-04,记录模板全量模拟试填,Codex dry-run/文件管理员复核,pending,closed,TEST-COMPLETE-CLOSURE-060,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0061,GATE-05,GR-02,preapply_gate,GATE-05,LIMS 命令层 dry-run,Codex dry-run/文件管理员复核,pending,closed,TEST-COMPLETE-CLOSURE-061,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0062,GATE-06,GR-02,preapply_gate,GATE-06,未确认 apply 阻断,Codex dry-run/文件管理员复核,pending,closed,TEST-COMPLETE-CLOSURE-062,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0063,GATE-07,GR-02,preapply_gate,GATE-07,候选手册人工评审,文件管理员/质量负责人/最高管理者,pending,closed,TEST-COMPLETE-CLOSURE-063,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0064,GATE-08,GR-02,preapply_gate,GATE-08,26 个记录模板字段评审,文件管理员/相关过程负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-064,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0065,GATE-09,GR-02,preapply_gate,GATE-09,05-02 编号附件/表单归属,文件管理员/设备管理员/技术负责人,pending,closed,TEST-COMPLETE-CLOSURE-065,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0066,GATE-10,GR-02,preapply_gate,GATE-10,外来依据台账人工查新,文件管理员/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-066,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0067,GATE-11,GR-02,preapply_gate,GATE-11,用户明确授权 apply,用户/最高管理者授权角色,pending,closed,TEST-COMPLETE-CLOSURE-067,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0068,FIELD-JL-4.1-01,GR-03,record_template_field_confirmation,JL-4.1-01,公正性风险识别与处置记录,质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-068,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0069,FIELD-JL-4.2-01,GR-03,record_template_field_confirmation,JL-4.2-01,保密承诺与权限确认记录,文件管理员/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-069,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0070,FIELD-JL-5-01,GR-03,record_template_field_confirmation,JL-5-01,岗位职责与授权确认表,最高管理者/技术负责人,pending,closed,TEST-COMPLETE-CLOSURE-070,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0071,FIELD-JL-6.2-01,GR-03,record_template_field_confirmation,JL-6.2-01,人员能力确认与授权记录,技术负责人,pending,closed,TEST-COMPLETE-CLOSURE-071,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0072,FIELD-JL-6.3-01,GR-03,record_template_field_confirmation,JL-6.3-01,环境条件监控与异常处置记录,检测人员/监督员,pending,closed,TEST-COMPLETE-CLOSURE-072,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0073,FIELD-JL-6.4-01,GR-03,record_template_field_confirmation,JL-6.4-01,设备状态与期间核查记录,设备管理员,pending,closed,TEST-COMPLETE-CLOSURE-073,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0074,FIELD-JL-6.5-01,GR-03,record_template_field_confirmation,JL-6.5-01,计量溯源结果确认记录,设备管理员/技术负责人,pending,closed,TEST-COMPLETE-CLOSURE-074,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0075,FIELD-JL-6.6-01,GR-03,record_template_field_confirmation,JL-6.6-01,外部服务与供应品评价记录,采购/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-075,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0076,FIELD-JL-7.1-01,GR-03,record_template_field_confirmation,JL-7.1-01,合同评审记录,业务受理/技术负责人,pending,closed,TEST-COMPLETE-CLOSURE-076,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0077,FIELD-JL-7.2-01,GR-03,record_template_field_confirmation,JL-7.2-01,方法验证/确认记录,技术负责人,pending,closed,TEST-COMPLETE-CLOSURE-077,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0078,FIELD-JL-7.3-01,GR-03,record_template_field_confirmation,JL-7.3-01,抽样条件启用评审记录,技术负责人/业务受理,pending,closed,TEST-COMPLETE-CLOSURE-078,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0079,FIELD-JL-7.4-01,GR-03,record_template_field_confirmation,JL-7.4-01,样品接收与异常处置记录,样品管理员,pending,closed,TEST-COMPLETE-CLOSURE-079,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0080,FIELD-JL-7.5-01,GR-03,record_template_field_confirmation,JL-7.5-01,技术记录更正记录,原记录人员/复核人员,pending,closed,TEST-COMPLETE-CLOSURE-080,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0081,FIELD-JL-7.6-01,GR-03,record_template_field_confirmation,JL-7.6-01,测量不确定度适用性评审记录,技术负责人,pending,closed,TEST-COMPLETE-CLOSURE-081,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0082,FIELD-JL-7.7-01,GR-03,record_template_field_confirmation,JL-7.7-01,结果有效性监控计划与评价记录,技术负责人/质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-082,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0083,FIELD-JL-7.8-01,GR-03,record_template_field_confirmation,JL-7.8-01,报告复核与授权签发记录,复核人/授权签字人,pending,closed,TEST-COMPLETE-CLOSURE-083,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
GC-0084,FIELD-JL-7.9-01,GR-03,record_template_field_confirmation,JL-7.9-01,投诉处理记录,质量负责人,pending,closed,TEST-COMPLETE-CLOSURE-084,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted,no,yes,yes
