role_batch_id,owner_role,gate_id,task_group,task_count,blocking_count,source_paths,first_object_code,suggested_handling_order,not_real_record
GCB-012,技术负责人/文件管理员,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-7.11-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-013,技术负责人/相关过程负责人/质量负责人,GR-02,manual_clause,11,11,human_review_workbench/decision_update_template.csv,CLAUSE-7.1,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-014,技术负责人/质量负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-7.7-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-015,授权签字人,GR-07,staff_learning_task,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-001,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-016,文件管理员,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-8.4-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-017,文件管理员,GR-04,manual_revision_decision,1,1,manual_revision_path_pack/04-人工决策闸门.csv,MRD-03,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-018,文件管理员,GR-06,release_execution_template_review,2,2,release_execution_template_pack/01-发布执行记录模板索引.csv,JL-REL-02,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-019,文件管理员,GR-07,staff_learning_task,28,27,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-002,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-020,文件管理员/技术负责人/质量负责人/最高管理者或授权批准人,GR-05,controlled_release_approval,28,28,controlled_release_rehearsal/02-审批签核演练清单.csv,XZTC/SC,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-021,文件管理员/相关过程负责人/质量负责人,GR-02,preapply_gate,1,1,human_review_workbench/decision_update_template.csv,GATE-08,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-022,文件管理员/相关过程负责人/质量负责人,GR-02,record_template,26,26,human_review_workbench/decision_update_template.csv,TEMPLATE-JL-4.1-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-023,文件管理员/设备管理员/技术负责人,GR-02,preapply_gate,1,1,human_review_workbench/decision_update_template.csv,GATE-09,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-024,文件管理员/设备管理员/技术负责人/质量负责人,GR-02,attachment_form_disposition,1,1,human_review_workbench/decision_update_template.csv,ATTACHMENT-XZTC/CX-05-02-2022,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-025,文件管理员/质量负责人,GR-02,preapply_gate,1,1,human_review_workbench/decision_update_template.csv,GATE-10,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-026,文件管理员/质量负责人,GR-03,record_template_field_confirmation,2,2,record_template_field_catalog/01-模板字段索引.csv,JL-4.2-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-027,文件管理员/质量负责人,GR-04,manual_revision_decision,1,1,manual_revision_path_pack/04-人工决策闸门.csv,MRD-02,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-028,文件管理员/质量负责人,GR-06,release_execution_template_review,1,1,release_execution_template_pack/01-发布执行记录模板索引.csv,JL-REL-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-029,文件管理员/质量负责人/最高管理者,GR-02,preapply_gate,1,1,human_review_workbench/decision_update_template.csv,GATE-07,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-030,最高管理者/技术负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-5-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-031,最高管理者/质量负责人,GR-02,manual_clause,3,3,human_review_workbench/decision_update_template.csv,CLAUSE-4.1,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-032,最高管理者/质量负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-8.9-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-033,最高管理者/质量负责人,GR-04,manual_revision_decision,1,1,manual_revision_path_pack/04-人工决策闸门.csv,MRD-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-034,样品管理员,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-7.4-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-035,检测人员/监督员,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-6.3-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-036,用户/总控,GR-13,user_authorization,1,1,.team/任务板.md,apply,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-037,用户/最高管理者授权角色,GR-02,preapply_gate,1,1,human_review_workbench/decision_update_template.csv,GATE-11,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-038,相关过程负责人,GR-07,staff_learning_task,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-002,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-039,管理层,GR-07,staff_learning_task,1,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-001,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-040,系统管理员,GR-07,staff_learning_task,1,0,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-003,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-041,系统管理员/文件管理员,GR-04,manual_revision_decision,1,1,manual_revision_path_pack/04-人工决策闸门.csv,MRD-04,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-042,系统管理员/文件管理员/质量负责人,GR-10,write_preview_review,1,1,lims_write_preview_package/write_preview_manifest.json,phase1,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-043,设备管理员,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-6.4-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-044,设备管理员/技术负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-6.5-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-045,设备管理员/技术负责人/质量负责人,GR-02,manual_clause,2,2,human_review_workbench/decision_update_template.csv,CLAUSE-6.4,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-046,试运行人员,GR-07,staff_learning_task,1,0,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-003,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-047,责任部门/质量负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-8.7-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-048,质量负责人,GR-03,record_template_field_confirmation,3,3,record_template_field_catalog/01-模板字段索引.csv,JL-4.1-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-049,质量负责人,GR-07,staff_learning_task,2,1,staff_training_implementation_pack/01-岗位学习任务矩阵.csv,TRN-002,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-050,质量负责人/内审员/过程负责人,GR-06,release_execution_template_review,1,1,release_execution_template_pack/01-发布执行记录模板索引.csv,JL-REL-05,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-051,质量负责人/技术负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-7.10-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-052,质量负责人/技术负责人/文件管理员,GR-11,stage2_structured_review,154,154,stage2_structured_review_workbench/05-人工复核意见回填模板.csv,manual_v5_candidate_4_1,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-053,质量负责人/文件管理员,GR-04,manual_revision_decision,1,1,manual_revision_path_pack/04-人工决策闸门.csv,MRD-05,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-054,质量负责人/文件管理员/培训责任人,GR-06,release_execution_template_review,1,1,release_execution_template_pack/01-发布执行记录模板索引.csv,JL-REL-03,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-055,质量负责人/文件管理员/最高管理者,GR-02,manual_clause,9,9,human_review_workbench/decision_update_template.csv,CLAUSE-8.1,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-056,质量负责人/相关过程负责人,GR-02,manual_clause,4,4,human_review_workbench/decision_update_template.csv,CLAUSE-6.1,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-057,质量负责人/系统管理员/文件管理员,GR-06,release_execution_template_review,1,1,release_execution_template_pack/01-发布执行记录模板索引.csv,JL-REL-06,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-058,质量负责人；文件管理员；相关过程负责人,GR-08,comprehension_question,12,12,staff_training_implementation_pack/03-理解确认题库.csv,质量手册,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-059,过程负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-8.6-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
GCB-060,采购/质量负责人,GR-03,record_template_field_confirmation,1,1,record_template_field_catalog/01-模板字段索引.csv,JL-6.6-01,先补证据，再写拟关闭意见，最后由质量负责人复核。,yes
