closure_item_id,source_task_id,gate_id,task_group,object_code,object_name,owner_role,source_current_status,proposed_closure_status,normalized_closure_status,closure_evidence_reference,evidence_template_reference,evidence_owner,evidence_date,evidence_result,closure_comment,reviewer,review_date,preview_result,will_remain_blocking,issue,required_evidence,not_imported
GC-0015,CLAUSE-7.6,GR-02,manual_clause,CLAUSE-7.6,7.6 测量不确定度,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-015,TEST-COMPLETE-TEMPLATE-015,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0016,CLAUSE-7.7,GR-02,manual_clause,CLAUSE-7.7,7.7 结果有效性,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-016,TEST-COMPLETE-TEMPLATE-016,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0017,CLAUSE-7.8,GR-02,manual_clause,CLAUSE-7.8,7.8 报告结果,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-017,TEST-COMPLETE-TEMPLATE-017,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0018,CLAUSE-7.9,GR-02,manual_clause,CLAUSE-7.9,7.9 投诉,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-018,TEST-COMPLETE-TEMPLATE-018,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0019,CLAUSE-7.10,GR-02,manual_clause,CLAUSE-7.10,7.10 不符合工作,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-019,TEST-COMPLETE-TEMPLATE-019,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0020,CLAUSE-7.11,GR-02,manual_clause,CLAUSE-7.11,7.11 数据控制与信息管理,技术负责人/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-020,TEST-COMPLETE-TEMPLATE-020,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0021,CLAUSE-8.1,GR-02,manual_clause,CLAUSE-8.1,8.1 管理体系方式,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-021,TEST-COMPLETE-TEMPLATE-021,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0022,CLAUSE-8.2,GR-02,manual_clause,CLAUSE-8.2,8.2 管理体系文件,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-022,TEST-COMPLETE-TEMPLATE-022,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0023,CLAUSE-8.3,GR-02,manual_clause,CLAUSE-8.3,8.3 文件控制,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-023,TEST-COMPLETE-TEMPLATE-023,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0024,CLAUSE-8.4,GR-02,manual_clause,CLAUSE-8.4,8.4 记录控制,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-024,TEST-COMPLETE-TEMPLATE-024,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0025,CLAUSE-8.5,GR-02,manual_clause,CLAUSE-8.5,8.5 风险和机遇,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-025,TEST-COMPLETE-TEMPLATE-025,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0026,CLAUSE-8.6,GR-02,manual_clause,CLAUSE-8.6,8.6 改进,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-026,TEST-COMPLETE-TEMPLATE-026,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0027,CLAUSE-8.7,GR-02,manual_clause,CLAUSE-8.7,8.7 纠正措施,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-027,TEST-COMPLETE-TEMPLATE-027,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0028,CLAUSE-8.8,GR-02,manual_clause,CLAUSE-8.8,8.8 内部审核,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-028,TEST-COMPLETE-TEMPLATE-028,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0029,CLAUSE-8.9,GR-02,manual_clause,CLAUSE-8.9,8.9 管理评审,质量负责人/文件管理员/最高管理者,pending,closed,closed,TEST-COMPLETE-PREVIEW-029,TEST-COMPLETE-TEMPLATE-029,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes
GC-0030,TEMPLATE-JL-4.1-01,GR-02,record_template,TEMPLATE-JL-4.1-01,JL-4.1-01 公正性风险识别与处置记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-030,TEST-COMPLETE-TEMPLATE-030,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0031,TEMPLATE-JL-4.2-01,GR-02,record_template,TEMPLATE-JL-4.2-01,JL-4.2-01 保密承诺与权限确认记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-031,TEST-COMPLETE-TEMPLATE-031,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0032,TEMPLATE-JL-5-01,GR-02,record_template,TEMPLATE-JL-5-01,JL-5-01 岗位职责与授权确认表,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-032,TEST-COMPLETE-TEMPLATE-032,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0033,TEMPLATE-JL-6.2-01,GR-02,record_template,TEMPLATE-JL-6.2-01,JL-6.2-01 人员能力确认与授权记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-033,TEST-COMPLETE-TEMPLATE-033,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0034,TEMPLATE-JL-6.3-01,GR-02,record_template,TEMPLATE-JL-6.3-01,JL-6.3-01 环境条件监控与异常处置记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-034,TEST-COMPLETE-TEMPLATE-034,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0035,TEMPLATE-JL-6.4-01,GR-02,record_template,TEMPLATE-JL-6.4-01,JL-6.4-01 设备状态与期间核查记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-035,TEST-COMPLETE-TEMPLATE-035,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0036,TEMPLATE-JL-6.5-01,GR-02,record_template,TEMPLATE-JL-6.5-01,JL-6.5-01 计量溯源结果确认记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-036,TEST-COMPLETE-TEMPLATE-036,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0037,TEMPLATE-JL-6.6-01,GR-02,record_template,TEMPLATE-JL-6.6-01,JL-6.6-01 外部服务与供应品评价记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-037,TEST-COMPLETE-TEMPLATE-037,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0038,TEMPLATE-JL-7.1-01,GR-02,record_template,TEMPLATE-JL-7.1-01,JL-7.1-01 合同评审记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-038,TEST-COMPLETE-TEMPLATE-038,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0039,TEMPLATE-JL-7.2-01,GR-02,record_template,TEMPLATE-JL-7.2-01,JL-7.2-01 方法验证/确认记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-039,TEST-COMPLETE-TEMPLATE-039,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0040,TEMPLATE-JL-7.3-01,GR-02,record_template,TEMPLATE-JL-7.3-01,JL-7.3-01 抽样条件启用评审记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-040,TEST-COMPLETE-TEMPLATE-040,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0041,TEMPLATE-JL-7.4-01,GR-02,record_template,TEMPLATE-JL-7.4-01,JL-7.4-01 样品接收与异常处置记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-041,TEST-COMPLETE-TEMPLATE-041,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0042,TEMPLATE-JL-7.5-01,GR-02,record_template,TEMPLATE-JL-7.5-01,JL-7.5-01 技术记录更正记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-042,TEST-COMPLETE-TEMPLATE-042,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0043,TEMPLATE-JL-7.6-01,GR-02,record_template,TEMPLATE-JL-7.6-01,JL-7.6-01 测量不确定度适用性评审记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-043,TEST-COMPLETE-TEMPLATE-043,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0044,TEMPLATE-JL-7.7-01,GR-02,record_template,TEMPLATE-JL-7.7-01,JL-7.7-01 结果有效性监控计划与评价记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-044,TEST-COMPLETE-TEMPLATE-044,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0045,TEMPLATE-JL-7.8-01,GR-02,record_template,TEMPLATE-JL-7.8-01,JL-7.8-01 报告复核与授权签发记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-045,TEST-COMPLETE-TEMPLATE-045,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0046,TEMPLATE-JL-7.9-01,GR-02,record_template,TEMPLATE-JL-7.9-01,JL-7.9-01 投诉处理记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-046,TEST-COMPLETE-TEMPLATE-046,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0047,TEMPLATE-JL-7.10-01,GR-02,record_template,TEMPLATE-JL-7.10-01,JL-7.10-01 不符合工作影响评价与恢复授权记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-047,TEST-COMPLETE-TEMPLATE-047,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0048,TEMPLATE-JL-7.11-01,GR-02,record_template,TEMPLATE-JL-7.11-01,JL-7.11-01 电子表格/软件适用性确认记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-048,TEST-COMPLETE-TEMPLATE-048,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0049,TEMPLATE-JL-8.3-01,GR-02,record_template,TEMPLATE-JL-8.3-01,JL-8.3-01 文件修订评审与发布记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-049,TEST-COMPLETE-TEMPLATE-049,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0050,TEMPLATE-JL-8.4-01,GR-02,record_template,TEMPLATE-JL-8.4-01,JL-8.4-01 记录归档与借阅记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-050,TEST-COMPLETE-TEMPLATE-050,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0051,TEMPLATE-JL-8.5-01,GR-02,record_template,TEMPLATE-JL-8.5-01,JL-8.5-01 风险和机遇措施跟踪记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-051,TEST-COMPLETE-TEMPLATE-051,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0052,TEMPLATE-JL-8.6-01,GR-02,record_template,TEMPLATE-JL-8.6-01,JL-8.6-01 改进建议与效果评价记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-052,TEST-COMPLETE-TEMPLATE-052,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0053,TEMPLATE-JL-8.7-01,GR-02,record_template,TEMPLATE-JL-8.7-01,JL-8.7-01 纠正措施记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-053,TEST-COMPLETE-TEMPLATE-053,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0054,TEMPLATE-JL-8.8-01,GR-02,record_template,TEMPLATE-JL-8.8-01,JL-8.8-01 内审计划、检查表与整改验证记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-054,TEST-COMPLETE-TEMPLATE-054,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0055,TEMPLATE-JL-8.9-01,GR-02,record_template,TEMPLATE-JL-8.9-01,JL-8.9-01 管理评审输入输出及跟踪记录,文件管理员/相关过程负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-055,TEST-COMPLETE-TEMPLATE-055,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes
GC-0056,ATTACHMENT-XZTC/CX-05-02-2022,GR-02,attachment_form_disposition,ATTACHMENT-XZTC/CX-05-02-2022,XZTC/CX-05-02-2022 仪器设备计量溯源结果确认表,文件管理员/设备管理员/技术负责人/质量负责人,pending,closed,closed,TEST-COMPLETE-PREVIEW-056,TEST-COMPLETE-TEMPLATE-056,测试审核人,2026-07-08,accepted,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,测试复核人,2026-07-08,accepted_for_preview,no,,确认 05-02 归属、字段、保存要求和与 JL-6.4-01/JL-6.5-01 的关系。,yes
