review_item_id,review_type,display_name,reviewer_role,current_decision,allowed_decisions,new_human_decision,review_comment,evidence_to_check,blocking_if_unresolved,source_file
CLAUSE-7.2,manual_clause,7.2 方法,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.3,manual_clause,7.3 抽样,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.4,manual_clause,7.4 样品处置,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.5,manual_clause,7.5 技术记录,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.6,manual_clause,7.6 测量不确定度,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.7,manual_clause,7.7 结果有效性,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.8,manual_clause,7.8 报告结果,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.9,manual_clause,7.9 投诉,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.10,manual_clause,7.10 不符合工作,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-7.11,manual_clause,7.11 数据控制与信息管理,技术负责人/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.1,manual_clause,8.1 管理体系方式,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.2,manual_clause,8.2 管理体系文件,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.3,manual_clause,8.3 文件控制,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.4,manual_clause,8.4 记录控制,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.5,manual_clause,8.5 风险和机遇,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.6,manual_clause,8.6 改进,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.7,manual_clause,8.7 纠正措施,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.8,manual_clause,8.8 内部审核,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
CLAUSE-8.9,manual_clause,8.9 管理评审,质量负责人/文件管理员/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选手册正文、现行程序、记录模板、真实运行证据和岗位责任。,yes,human_review_pack/manual_clause_review_checklist.csv
TEMPLATE-JL-4.1-01,record_template,JL-4.1-01 公正性风险识别与处置记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-4.2-01,record_template,JL-4.2-01 保密承诺与权限确认记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-5-01,record_template,JL-5-01 岗位职责与授权确认表,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-6.2-01,record_template,JL-6.2-01 人员能力确认与授权记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-6.3-01,record_template,JL-6.3-01 环境条件监控与异常处置记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-6.4-01,record_template,JL-6.4-01 设备状态与期间核查记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-6.5-01,record_template,JL-6.5-01 计量溯源结果确认记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-6.6-01,record_template,JL-6.6-01 外部服务与供应品评价记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.1-01,record_template,JL-7.1-01 合同评审记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.2-01,record_template,JL-7.2-01 方法验证/确认记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.3-01,record_template,JL-7.3-01 抽样条件启用评审记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.4-01,record_template,JL-7.4-01 样品接收与异常处置记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.5-01,record_template,JL-7.5-01 技术记录更正记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.6-01,record_template,JL-7.6-01 测量不确定度适用性评审记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.7-01,record_template,JL-7.7-01 结果有效性监控计划与评价记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.8-01,record_template,JL-7.8-01 报告复核与授权签发记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.9-01,record_template,JL-7.9-01 投诉处理记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.10-01,record_template,JL-7.10-01 不符合工作影响评价与恢复授权记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-7.11-01,record_template,JL-7.11-01 电子表格/软件适用性确认记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-8.3-01,record_template,JL-8.3-01 文件修订评审与发布记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-8.4-01,record_template,JL-8.4-01 记录归档与借阅记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-8.5-01,record_template,JL-8.5-01 风险和机遇措施跟踪记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-8.6-01,record_template,JL-8.6-01 改进建议与效果评价记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-8.7-01,record_template,JL-8.7-01 纠正措施记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-8.8-01,record_template,JL-8.8-01 内审计划、检查表与整改验证记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
TEMPLATE-JL-8.9-01,record_template,JL-8.9-01 管理评审输入输出及跟踪记录,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,核对候选字段、全量试填表、保存期限、保密等级和签核规则。,yes,human_review_pack/record_template_review_checklist.csv
ATTACHMENT-XZTC/CX-05-02-2022,attachment_form_disposition,XZTC/CX-05-02-2022 仪器设备计量溯源结果确认表,文件管理员/设备管理员/技术负责人/质量负责人,pending,程序附件；记录模板；历史附件保留；作废不导入；待补录为受控文件；deferred,,,确认 05-02 归属、字段、保存要求和与 JL-6.4-01/JL-6.5-01 的关系。,yes,human_review_pack/attachment_form_disposition.csv
GATE-01,preapply_gate,候选修订包门禁,Codex dry-run/文件管理员复核,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,"17-候选修订包验证报告.json: passed, findings=0",yes,human_review_pack/preapply_gate_register.csv
GATE-02,preapply_gate,LIMS 预导入包结构 dry-run,Codex dry-run/文件管理员复核,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,"18-LIMS预导入包dry-run验证报告.json: passed, findings=0",yes,human_review_pack/preapply_gate_register.csv
GATE-03,preapply_gate,记录模板模拟试填,Codex dry-run/文件管理员复核,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,"20-记录模板试填dry-run验证报告.json: passed, findings=0",yes,human_review_pack/preapply_gate_register.csv
GATE-04,preapply_gate,记录模板全量模拟试填,Codex dry-run/文件管理员复核,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,"25-记录模板全量试填dry-run验证报告.json: passed, findings=0",yes,human_review_pack/preapply_gate_register.csv
GATE-05,preapply_gate,LIMS 命令层 dry-run,Codex dry-run/文件管理员复核,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,"21-LIMS预导入命令dry-run报告.json: passed, findings=0",yes,human_review_pack/preapply_gate_register.csv
GATE-06,preapply_gate,未确认 apply 阻断,Codex dry-run/文件管理员复核,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,"22-LIMS预导入apply闸门验证报告.json: blocked, findings=1",yes,human_review_pack/preapply_gate_register.csv
GATE-07,preapply_gate,候选手册人工评审,文件管理员/质量负责人/最高管理者,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,pending_human_review,yes,human_review_pack/preapply_gate_register.csv
GATE-08,preapply_gate,26 个记录模板字段评审,文件管理员/相关过程负责人/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,pending_human_review,yes,human_review_pack/preapply_gate_register.csv
GATE-09,preapply_gate,05-02 编号附件/表单归属,文件管理员/设备管理员/技术负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,pending_human_review,yes,human_review_pack/preapply_gate_register.csv
GATE-10,preapply_gate,外来依据台账人工查新,文件管理员/质量负责人,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,pending_human_review,yes,human_review_pack/preapply_gate_register.csv
GATE-11,preapply_gate,用户明确授权 apply,用户/最高管理者授权角色,pending,approved/pass/accepted/通过/批准；needs_revision；rejected；deferred,,,pending_human_review,yes,human_review_pack/preapply_gate_register.csv
