task_id,gate_id,task_group,object_code,object_name,owner_role,source_current_status,closure_preview_result,refreshed_task_status,accepted_for_refresh,blocking_before_refresh,blocking_after_refresh,closure_evidence_reference,evidence_template_reference,source_path,not_imported,not_real_record
CLAUSE-7.2,GR-02,manual_clause,CLAUSE-7.2,7.2 方法,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-011,TEST-COMPLETE-TEMPLATE-011,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.3,GR-02,manual_clause,CLAUSE-7.3,7.3 抽样,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-012,TEST-COMPLETE-TEMPLATE-012,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.4,GR-02,manual_clause,CLAUSE-7.4,7.4 样品处置,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-013,TEST-COMPLETE-TEMPLATE-013,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.5,GR-02,manual_clause,CLAUSE-7.5,7.5 技术记录,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-014,TEST-COMPLETE-TEMPLATE-014,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.6,GR-02,manual_clause,CLAUSE-7.6,7.6 测量不确定度,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-015,TEST-COMPLETE-TEMPLATE-015,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.7,GR-02,manual_clause,CLAUSE-7.7,7.7 结果有效性,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-016,TEST-COMPLETE-TEMPLATE-016,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.8,GR-02,manual_clause,CLAUSE-7.8,7.8 报告结果,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-017,TEST-COMPLETE-TEMPLATE-017,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.9,GR-02,manual_clause,CLAUSE-7.9,7.9 投诉,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-018,TEST-COMPLETE-TEMPLATE-018,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.10,GR-02,manual_clause,CLAUSE-7.10,7.10 不符合工作,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-019,TEST-COMPLETE-TEMPLATE-019,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-7.11,GR-02,manual_clause,CLAUSE-7.11,7.11 数据控制与信息管理,技术负责人/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-020,TEST-COMPLETE-TEMPLATE-020,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.1,GR-02,manual_clause,CLAUSE-8.1,8.1 管理体系方式,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-021,TEST-COMPLETE-TEMPLATE-021,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.2,GR-02,manual_clause,CLAUSE-8.2,8.2 管理体系文件,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-022,TEST-COMPLETE-TEMPLATE-022,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.3,GR-02,manual_clause,CLAUSE-8.3,8.3 文件控制,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-023,TEST-COMPLETE-TEMPLATE-023,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.4,GR-02,manual_clause,CLAUSE-8.4,8.4 记录控制,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-024,TEST-COMPLETE-TEMPLATE-024,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.5,GR-02,manual_clause,CLAUSE-8.5,8.5 风险和机遇,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-025,TEST-COMPLETE-TEMPLATE-025,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.6,GR-02,manual_clause,CLAUSE-8.6,8.6 改进,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-026,TEST-COMPLETE-TEMPLATE-026,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.7,GR-02,manual_clause,CLAUSE-8.7,8.7 纠正措施,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-027,TEST-COMPLETE-TEMPLATE-027,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.8,GR-02,manual_clause,CLAUSE-8.8,8.8 内部审核,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-028,TEST-COMPLETE-TEMPLATE-028,human_review_workbench/decision_update_template.csv,yes,yes
CLAUSE-8.9,GR-02,manual_clause,CLAUSE-8.9,8.9 管理评审,质量负责人/文件管理员/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-029,TEST-COMPLETE-TEMPLATE-029,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-4.1-01,GR-02,record_template,TEMPLATE-JL-4.1-01,JL-4.1-01 公正性风险识别与处置记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-030,TEST-COMPLETE-TEMPLATE-030,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-4.2-01,GR-02,record_template,TEMPLATE-JL-4.2-01,JL-4.2-01 保密承诺与权限确认记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-031,TEST-COMPLETE-TEMPLATE-031,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-5-01,GR-02,record_template,TEMPLATE-JL-5-01,JL-5-01 岗位职责与授权确认表,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-032,TEST-COMPLETE-TEMPLATE-032,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-6.2-01,GR-02,record_template,TEMPLATE-JL-6.2-01,JL-6.2-01 人员能力确认与授权记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-033,TEST-COMPLETE-TEMPLATE-033,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-6.3-01,GR-02,record_template,TEMPLATE-JL-6.3-01,JL-6.3-01 环境条件监控与异常处置记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-034,TEST-COMPLETE-TEMPLATE-034,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-6.4-01,GR-02,record_template,TEMPLATE-JL-6.4-01,JL-6.4-01 设备状态与期间核查记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-035,TEST-COMPLETE-TEMPLATE-035,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-6.5-01,GR-02,record_template,TEMPLATE-JL-6.5-01,JL-6.5-01 计量溯源结果确认记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-036,TEST-COMPLETE-TEMPLATE-036,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-6.6-01,GR-02,record_template,TEMPLATE-JL-6.6-01,JL-6.6-01 外部服务与供应品评价记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-037,TEST-COMPLETE-TEMPLATE-037,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.1-01,GR-02,record_template,TEMPLATE-JL-7.1-01,JL-7.1-01 合同评审记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-038,TEST-COMPLETE-TEMPLATE-038,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.2-01,GR-02,record_template,TEMPLATE-JL-7.2-01,JL-7.2-01 方法验证/确认记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-039,TEST-COMPLETE-TEMPLATE-039,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.3-01,GR-02,record_template,TEMPLATE-JL-7.3-01,JL-7.3-01 抽样条件启用评审记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-040,TEST-COMPLETE-TEMPLATE-040,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.4-01,GR-02,record_template,TEMPLATE-JL-7.4-01,JL-7.4-01 样品接收与异常处置记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-041,TEST-COMPLETE-TEMPLATE-041,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.5-01,GR-02,record_template,TEMPLATE-JL-7.5-01,JL-7.5-01 技术记录更正记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-042,TEST-COMPLETE-TEMPLATE-042,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.6-01,GR-02,record_template,TEMPLATE-JL-7.6-01,JL-7.6-01 测量不确定度适用性评审记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-043,TEST-COMPLETE-TEMPLATE-043,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.7-01,GR-02,record_template,TEMPLATE-JL-7.7-01,JL-7.7-01 结果有效性监控计划与评价记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-044,TEST-COMPLETE-TEMPLATE-044,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.8-01,GR-02,record_template,TEMPLATE-JL-7.8-01,JL-7.8-01 报告复核与授权签发记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-045,TEST-COMPLETE-TEMPLATE-045,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.9-01,GR-02,record_template,TEMPLATE-JL-7.9-01,JL-7.9-01 投诉处理记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-046,TEST-COMPLETE-TEMPLATE-046,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.10-01,GR-02,record_template,TEMPLATE-JL-7.10-01,JL-7.10-01 不符合工作影响评价与恢复授权记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-047,TEST-COMPLETE-TEMPLATE-047,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-7.11-01,GR-02,record_template,TEMPLATE-JL-7.11-01,JL-7.11-01 电子表格/软件适用性确认记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-048,TEST-COMPLETE-TEMPLATE-048,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-8.3-01,GR-02,record_template,TEMPLATE-JL-8.3-01,JL-8.3-01 文件修订评审与发布记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-049,TEST-COMPLETE-TEMPLATE-049,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-8.4-01,GR-02,record_template,TEMPLATE-JL-8.4-01,JL-8.4-01 记录归档与借阅记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-050,TEST-COMPLETE-TEMPLATE-050,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-8.5-01,GR-02,record_template,TEMPLATE-JL-8.5-01,JL-8.5-01 风险和机遇措施跟踪记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-051,TEST-COMPLETE-TEMPLATE-051,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-8.6-01,GR-02,record_template,TEMPLATE-JL-8.6-01,JL-8.6-01 改进建议与效果评价记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-052,TEST-COMPLETE-TEMPLATE-052,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-8.7-01,GR-02,record_template,TEMPLATE-JL-8.7-01,JL-8.7-01 纠正措施记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-053,TEST-COMPLETE-TEMPLATE-053,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-8.8-01,GR-02,record_template,TEMPLATE-JL-8.8-01,JL-8.8-01 内审计划、检查表与整改验证记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-054,TEST-COMPLETE-TEMPLATE-054,human_review_workbench/decision_update_template.csv,yes,yes
TEMPLATE-JL-8.9-01,GR-02,record_template,TEMPLATE-JL-8.9-01,JL-8.9-01 管理评审输入输出及跟踪记录,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-055,TEST-COMPLETE-TEMPLATE-055,human_review_workbench/decision_update_template.csv,yes,yes
ATTACHMENT-XZTC/CX-05-02-2022,GR-02,attachment_form_disposition,ATTACHMENT-XZTC/CX-05-02-2022,XZTC/CX-05-02-2022 仪器设备计量溯源结果确认表,文件管理员/设备管理员/技术负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-056,TEST-COMPLETE-TEMPLATE-056,human_review_workbench/decision_update_template.csv,yes,yes
GATE-01,GR-02,preapply_gate,GATE-01,候选修订包门禁,Codex dry-run/文件管理员复核,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-057,TEST-COMPLETE-TEMPLATE-057,human_review_workbench/decision_update_template.csv,yes,yes
GATE-02,GR-02,preapply_gate,GATE-02,LIMS 预导入包结构 dry-run,Codex dry-run/文件管理员复核,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-058,TEST-COMPLETE-TEMPLATE-058,human_review_workbench/decision_update_template.csv,yes,yes
GATE-03,GR-02,preapply_gate,GATE-03,记录模板模拟试填,Codex dry-run/文件管理员复核,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-059,TEST-COMPLETE-TEMPLATE-059,human_review_workbench/decision_update_template.csv,yes,yes
GATE-04,GR-02,preapply_gate,GATE-04,记录模板全量模拟试填,Codex dry-run/文件管理员复核,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-060,TEST-COMPLETE-TEMPLATE-060,human_review_workbench/decision_update_template.csv,yes,yes
GATE-05,GR-02,preapply_gate,GATE-05,LIMS 命令层 dry-run,Codex dry-run/文件管理员复核,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-061,TEST-COMPLETE-TEMPLATE-061,human_review_workbench/decision_update_template.csv,yes,yes
GATE-06,GR-02,preapply_gate,GATE-06,未确认 apply 阻断,Codex dry-run/文件管理员复核,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-062,TEST-COMPLETE-TEMPLATE-062,human_review_workbench/decision_update_template.csv,yes,yes
GATE-07,GR-02,preapply_gate,GATE-07,候选手册人工评审,文件管理员/质量负责人/最高管理者,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-063,TEST-COMPLETE-TEMPLATE-063,human_review_workbench/decision_update_template.csv,yes,yes
GATE-08,GR-02,preapply_gate,GATE-08,26 个记录模板字段评审,文件管理员/相关过程负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-064,TEST-COMPLETE-TEMPLATE-064,human_review_workbench/decision_update_template.csv,yes,yes
GATE-09,GR-02,preapply_gate,GATE-09,05-02 编号附件/表单归属,文件管理员/设备管理员/技术负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-065,TEST-COMPLETE-TEMPLATE-065,human_review_workbench/decision_update_template.csv,yes,yes
GATE-10,GR-02,preapply_gate,GATE-10,外来依据台账人工查新,文件管理员/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-066,TEST-COMPLETE-TEMPLATE-066,human_review_workbench/decision_update_template.csv,yes,yes
GATE-11,GR-02,preapply_gate,GATE-11,用户明确授权 apply,用户/最高管理者授权角色,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-067,TEST-COMPLETE-TEMPLATE-067,human_review_workbench/decision_update_template.csv,yes,yes
FIELD-JL-4.1-01,GR-03,record_template_field_confirmation,JL-4.1-01,公正性风险识别与处置记录,质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-068,TEST-COMPLETE-TEMPLATE-068,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-4.2-01,GR-03,record_template_field_confirmation,JL-4.2-01,保密承诺与权限确认记录,文件管理员/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-069,TEST-COMPLETE-TEMPLATE-069,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-5-01,GR-03,record_template_field_confirmation,JL-5-01,岗位职责与授权确认表,最高管理者/技术负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-070,TEST-COMPLETE-TEMPLATE-070,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-6.2-01,GR-03,record_template_field_confirmation,JL-6.2-01,人员能力确认与授权记录,技术负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-071,TEST-COMPLETE-TEMPLATE-071,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-6.3-01,GR-03,record_template_field_confirmation,JL-6.3-01,环境条件监控与异常处置记录,检测人员/监督员,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-072,TEST-COMPLETE-TEMPLATE-072,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-6.4-01,GR-03,record_template_field_confirmation,JL-6.4-01,设备状态与期间核查记录,设备管理员,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-073,TEST-COMPLETE-TEMPLATE-073,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-6.5-01,GR-03,record_template_field_confirmation,JL-6.5-01,计量溯源结果确认记录,设备管理员/技术负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-074,TEST-COMPLETE-TEMPLATE-074,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-6.6-01,GR-03,record_template_field_confirmation,JL-6.6-01,外部服务与供应品评价记录,采购/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-075,TEST-COMPLETE-TEMPLATE-075,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.1-01,GR-03,record_template_field_confirmation,JL-7.1-01,合同评审记录,业务受理/技术负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-076,TEST-COMPLETE-TEMPLATE-076,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.2-01,GR-03,record_template_field_confirmation,JL-7.2-01,方法验证/确认记录,技术负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-077,TEST-COMPLETE-TEMPLATE-077,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.3-01,GR-03,record_template_field_confirmation,JL-7.3-01,抽样条件启用评审记录,技术负责人/业务受理,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-078,TEST-COMPLETE-TEMPLATE-078,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.4-01,GR-03,record_template_field_confirmation,JL-7.4-01,样品接收与异常处置记录,样品管理员,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-079,TEST-COMPLETE-TEMPLATE-079,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.5-01,GR-03,record_template_field_confirmation,JL-7.5-01,技术记录更正记录,原记录人员/复核人员,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-080,TEST-COMPLETE-TEMPLATE-080,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.6-01,GR-03,record_template_field_confirmation,JL-7.6-01,测量不确定度适用性评审记录,技术负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-081,TEST-COMPLETE-TEMPLATE-081,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.7-01,GR-03,record_template_field_confirmation,JL-7.7-01,结果有效性监控计划与评价记录,技术负责人/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-082,TEST-COMPLETE-TEMPLATE-082,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.8-01,GR-03,record_template_field_confirmation,JL-7.8-01,报告复核与授权签发记录,复核人/授权签字人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-083,TEST-COMPLETE-TEMPLATE-083,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.9-01,GR-03,record_template_field_confirmation,JL-7.9-01,投诉处理记录,质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-084,TEST-COMPLETE-TEMPLATE-084,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.10-01,GR-03,record_template_field_confirmation,JL-7.10-01,不符合工作影响评价与恢复授权记录,质量负责人/技术负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-085,TEST-COMPLETE-TEMPLATE-085,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-7.11-01,GR-03,record_template_field_confirmation,JL-7.11-01,电子表格/软件适用性确认记录,技术负责人/文件管理员,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-086,TEST-COMPLETE-TEMPLATE-086,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-8.3-01,GR-03,record_template_field_confirmation,JL-8.3-01,文件修订评审与发布记录,文件管理员/质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-087,TEST-COMPLETE-TEMPLATE-087,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-8.4-01,GR-03,record_template_field_confirmation,JL-8.4-01,记录归档与借阅记录,文件管理员,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-088,TEST-COMPLETE-TEMPLATE-088,record_template_field_catalog/01-模板字段索引.csv,yes,yes
FIELD-JL-8.5-01,GR-03,record_template_field_confirmation,JL-8.5-01,风险和机遇措施跟踪记录,质量负责人,pending,accepted_for_preview,closed,yes,no,no,TEST-COMPLETE-REFRESH-089,TEST-COMPLETE-TEMPLATE-089,record_template_field_catalog/01-模板字段索引.csv,yes,yes
