decision_item_id,scope,target_key,section_number,target_type,target_code,allowed_decisions,proposed_human_decision,review_comment,required_evidence,blocking_if_unresolved,not_imported
STG2-BLOCK-024,block,manual_v5_candidate_8_4,8.4,manual_block,manual_v5_candidate_8_4,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-025,block,manual_v5_candidate_8_5,8.5,manual_block,manual_v5_candidate_8_5,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-026,block,manual_v5_candidate_8_6,8.6,manual_block,manual_v5_candidate_8_6,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-027,block,manual_v5_candidate_8_7,8.7,manual_block,manual_v5_candidate_8_7,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-028,block,manual_v5_candidate_8_8,8.8,manual_block,manual_v5_candidate_8_8,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-BLOCK-029,block,manual_v5_candidate_8_9,8.9,manual_block,manual_v5_candidate_8_9,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认条款块标题、类型、排序、来源和后续生效条件。,yes,yes
STG2-LINK-001,link,manual_v5_candidate_4_1->procedure_document:XZTC/CX-07-02-2022,4.1,procedure_document,XZTC/CX-07-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-002,link,manual_v5_candidate_4_1->procedure_document:XZTC/CX-07-2022,4.1,procedure_document,XZTC/CX-07-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-003,link,manual_v5_candidate_4_1->procedure_document:XZTC/CX-32-2022,4.1,procedure_document,XZTC/CX-32-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-004,link,manual_v5_candidate_4_1->record_form_template:JL-4.1-01,4.1,record_form_template,JL-4.1-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-005,link,manual_v5_candidate_4_2->procedure_document:XZTC/CX-06-2022,4.2,procedure_document,XZTC/CX-06-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-006,link,manual_v5_candidate_4_2->procedure_document:XZTC/CX-08-2022,4.2,procedure_document,XZTC/CX-08-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-007,link,manual_v5_candidate_4_2->procedure_document:XZTC/CX-19-2022,4.2,procedure_document,XZTC/CX-19-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-008,link,manual_v5_candidate_4_2->procedure_document:XZTC/CX-26-2022,4.2,procedure_document,XZTC/CX-26-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-009,link,manual_v5_candidate_4_2->record_form_template:JL-4.2-01,4.2,record_form_template,JL-4.2-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-010,link,manual_v5_candidate_5->procedure_document:XZTC/CX-01-02-2022,5,procedure_document,XZTC/CX-01-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-011,link,manual_v5_candidate_5->procedure_document:XZTC/CX-13-2022,5,procedure_document,XZTC/CX-13-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-012,link,manual_v5_candidate_5->procedure_document:XZTC/CX-32-2022,5,procedure_document,XZTC/CX-32-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-013,link,manual_v5_candidate_5->record_form_template:JL-5-01,5,record_form_template,JL-5-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-014,link,manual_v5_candidate_6_1->procedure_document:XZTC/CX-01-02-2022,6.1,procedure_document,XZTC/CX-01-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-015,link,manual_v5_candidate_6_1->procedure_document:XZTC/CX-02-2022,6.1,procedure_document,XZTC/CX-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-016,link,manual_v5_candidate_6_1->procedure_document:XZTC/CX-03-2022,6.1,procedure_document,XZTC/CX-03-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-017,link,manual_v5_candidate_6_1->procedure_document:XZTC/CX-11-2022,6.1,procedure_document,XZTC/CX-11-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-018,link,manual_v5_candidate_6_1->record_form_template:JL-5-01,6.1,record_form_template,JL-5-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-019,link,manual_v5_candidate_6_2->procedure_document:XZTC/CX-01-02-2022,6.2,procedure_document,XZTC/CX-01-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-020,link,manual_v5_candidate_6_2->procedure_document:XZTC/CX-01-2022,6.2,procedure_document,XZTC/CX-01-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-021,link,manual_v5_candidate_6_2->procedure_document:XZTC/CX-31-2022,6.2,procedure_document,XZTC/CX-31-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-022,link,manual_v5_candidate_6_2->record_form_template:JL-6.2-01,6.2,record_form_template,JL-6.2-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-023,link,manual_v5_candidate_6_3->procedure_document:XZTC/CX-02-2022,6.3,procedure_document,XZTC/CX-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-024,link,manual_v5_candidate_6_3->procedure_document:XZTC/CX-31-2022,6.3,procedure_document,XZTC/CX-31-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-025,link,manual_v5_candidate_6_3->procedure_document:XZTC/CX-33-2022,6.3,procedure_document,XZTC/CX-33-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-026,link,manual_v5_candidate_6_3->record_form_template:JL-6.3-01,6.3,record_form_template,JL-6.3-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-027,link,manual_v5_candidate_6_4->procedure_document:XZTC/CX-03-02-2022,6.4,procedure_document,XZTC/CX-03-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-028,link,manual_v5_candidate_6_4->procedure_document:XZTC/CX-03-2022,6.4,procedure_document,XZTC/CX-03-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-029,link,manual_v5_candidate_6_4->procedure_document:XZTC/CX-04-2022,6.4,procedure_document,XZTC/CX-04-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-030,link,manual_v5_candidate_6_4->attachment_form_document:XZTC/CX-05-02-2022,6.4,attachment_form_document,XZTC/CX-05-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该编号附件/表单的归属、保存方式和后续是否纳入记录模板。,yes,yes
STG2-LINK-031,link,manual_v5_candidate_6_4->record_form_template:JL-6.4-01,6.4,record_form_template,JL-6.4-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-032,link,manual_v5_candidate_6_5->procedure_document:XZTC/CX-03-02-2022,6.5,procedure_document,XZTC/CX-03-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-033,link,manual_v5_candidate_6_5->procedure_document:XZTC/CX-05-2022,6.5,procedure_document,XZTC/CX-05-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-034,link,manual_v5_candidate_6_5->attachment_form_document:XZTC/CX-05-02-2022,6.5,attachment_form_document,XZTC/CX-05-02-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该编号附件/表单的归属、保存方式和后续是否纳入记录模板。,yes,yes
STG2-LINK-035,link,manual_v5_candidate_6_5->record_form_template:JL-6.5-01,6.5,record_form_template,JL-6.5-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-036,link,manual_v5_candidate_6_6->procedure_document:XZTC/CX-11-2022,6.6,procedure_document,XZTC/CX-11-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-037,link,manual_v5_candidate_6_6->procedure_document:XZTC/CX-19-2022,6.6,procedure_document,XZTC/CX-19-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-038,link,manual_v5_candidate_6_6->procedure_document:XZTC/CX-32-2022,6.6,procedure_document,XZTC/CX-32-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-039,link,manual_v5_candidate_6_6->record_form_template:JL-6.6-01,6.6,record_form_template,JL-6.6-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-040,link,manual_v5_candidate_7_1->procedure_document:XZTC/CX-08-2022,7.1,procedure_document,XZTC/CX-08-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-041,link,manual_v5_candidate_7_1->procedure_document:XZTC/CX-09-2022,7.1,procedure_document,XZTC/CX-09-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-042,link,manual_v5_candidate_7_1->procedure_document:XZTC/CX-12-2022,7.1,procedure_document,XZTC/CX-12-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-043,link,manual_v5_candidate_7_1->record_form_template:JL-7.1-01,7.1,record_form_template,JL-7.1-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-044,link,manual_v5_candidate_7_2->procedure_document:XZTC/CX-22-2022,7.2,procedure_document,XZTC/CX-22-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-045,link,manual_v5_candidate_7_2->procedure_document:XZTC/CX-23-2022,7.2,procedure_document,XZTC/CX-23-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-046,link,manual_v5_candidate_7_2->procedure_document:XZTC/CX-24-2022,7.2,procedure_document,XZTC/CX-24-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-047,link,manual_v5_candidate_7_2->procedure_document:XZTC/CX-27-2022,7.2,procedure_document,XZTC/CX-27-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-048,link,manual_v5_candidate_7_2->record_form_template:JL-7.2-01,7.2,record_form_template,JL-7.2-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-049,link,manual_v5_candidate_7_3->procedure_document:XZTC/CX-09-2022,7.3,procedure_document,XZTC/CX-09-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-050,link,manual_v5_candidate_7_3->procedure_document:XZTC/CX-28-2022,7.3,procedure_document,XZTC/CX-28-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-051,link,manual_v5_candidate_7_3->procedure_document:XZTC/CX-35-2022,7.3,procedure_document,XZTC/CX-35-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-052,link,manual_v5_candidate_7_3->record_form_template:JL-7.3-01,7.3,record_form_template,JL-7.3-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-053,link,manual_v5_candidate_7_4->procedure_document:XZTC/CX-06-2022,7.4,procedure_document,XZTC/CX-06-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-054,link,manual_v5_candidate_7_4->procedure_document:XZTC/CX-25-2022,7.4,procedure_document,XZTC/CX-25-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-055,link,manual_v5_candidate_7_4->procedure_document:XZTC/CX-28-2022,7.4,procedure_document,XZTC/CX-28-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-056,link,manual_v5_candidate_7_4->record_form_template:JL-7.4-01,7.4,record_form_template,JL-7.4-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
STG2-LINK-057,link,manual_v5_candidate_7_5->procedure_document:XZTC/CX-19-2022,7.5,procedure_document,XZTC/CX-19-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-058,link,manual_v5_candidate_7_5->procedure_document:XZTC/CX-25-2022,7.5,procedure_document,XZTC/CX-25-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-059,link,manual_v5_candidate_7_5->procedure_document:XZTC/CX-26-2022,7.5,procedure_document,XZTC/CX-26-2022,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认该程序确实支撑本手册条款，且仍为 LIMS 当前 2022 现行程序。,yes,yes
STG2-LINK-060,link,manual_v5_candidate_7_5->record_form_template:JL-7.5-01,7.5,record_form_template,JL-7.5-01,approved|revise|remove|pending,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,确认候选记录模板字段、触发时机、责任岗位和保存要求适用于本条款。,yes,yes
