target_type,target_code,target_id_resolution,linked_block_count,linked_sections,linked_stable_keys,requires_confirmation,human_decision,review_comment,blocking_if_unresolved,not_imported
procedure_document,XZTC/CX-28-2022,existing_document:1195517d-33a6-4e2d-a5b1-17b90a81c698,2,7.3；7.4,manual_v5_candidate_7_3；manual_v5_candidate_7_4,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-29-2022,existing_document:efcbe71f-d194-4bed-93bd-965845b58edb,1,7.8,manual_v5_candidate_7_8,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-30-2022,existing_document:b8bede2d-2a3f-4ed2-a2c9-4a003ce1f1d3,2,7.6；7.7,manual_v5_candidate_7_6；manual_v5_candidate_7_7,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-31-2022,existing_document:81588b50-963a-4318-93aa-821ed4bbf6c3,2,6.2；6.3,manual_v5_candidate_6_2；manual_v5_candidate_6_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-32-2022,existing_document:1ecf0642-c1a6-4b52-bfcb-2ae42bf71948,5,4.1；5；6.6；7.10；8.5,manual_v5_candidate_4_1；manual_v5_candidate_5；manual_v5_candidate_6_6；manual_v5_candidate_7_10；manual_v5_candidate_8_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-33-2022,existing_document:d9dd985e-b3d5-4fc6-ac2d-aa48b82122f2,1,6.3,manual_v5_candidate_6_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-34-2022,existing_document:14648c83-5dc6-42bc-b93c-21f182eadf46,1,7.7,manual_v5_candidate_7_7,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
procedure_document,XZTC/CX-35-2022,existing_document:5d92e0f7-2bb5-4e69-8e36-67215351449d,1,7.3,manual_v5_candidate_7_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-4.1-01,candidate_record_template_after_phase1_apply,1,4.1,manual_v5_candidate_4_1,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-4.2-01,candidate_record_template_after_phase1_apply,1,4.2,manual_v5_candidate_4_2,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-5-01,candidate_record_template_after_phase1_apply,2,5；6.1,manual_v5_candidate_5；manual_v5_candidate_6_1,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-6.2-01,candidate_record_template_after_phase1_apply,1,6.2,manual_v5_candidate_6_2,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-6.3-01,candidate_record_template_after_phase1_apply,1,6.3,manual_v5_candidate_6_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-6.4-01,candidate_record_template_after_phase1_apply,1,6.4,manual_v5_candidate_6_4,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-6.5-01,candidate_record_template_after_phase1_apply,1,6.5,manual_v5_candidate_6_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-6.6-01,candidate_record_template_after_phase1_apply,1,6.6,manual_v5_candidate_6_6,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.1-01,candidate_record_template_after_phase1_apply,1,7.1,manual_v5_candidate_7_1,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.10-01,candidate_record_template_after_phase1_apply,1,7.10,manual_v5_candidate_7_10,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.11-01,candidate_record_template_after_phase1_apply,1,7.11,manual_v5_candidate_7_11,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.2-01,candidate_record_template_after_phase1_apply,1,7.2,manual_v5_candidate_7_2,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.3-01,candidate_record_template_after_phase1_apply,1,7.3,manual_v5_candidate_7_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.4-01,candidate_record_template_after_phase1_apply,1,7.4,manual_v5_candidate_7_4,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.5-01,candidate_record_template_after_phase1_apply,1,7.5,manual_v5_candidate_7_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.6-01,candidate_record_template_after_phase1_apply,1,7.6,manual_v5_candidate_7_6,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.7-01,candidate_record_template_after_phase1_apply,1,7.7,manual_v5_candidate_7_7,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.8-01,candidate_record_template_after_phase1_apply,1,7.8,manual_v5_candidate_7_8,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-7.9-01,candidate_record_template_after_phase1_apply,1,7.9,manual_v5_candidate_7_9,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-8.3-01,candidate_record_template_after_phase1_apply,2,8.2；8.3,manual_v5_candidate_8_2；manual_v5_candidate_8_3,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-8.4-01,candidate_record_template_after_phase1_apply,1,8.4,manual_v5_candidate_8_4,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-8.5-01,candidate_record_template_after_phase1_apply,1,8.5,manual_v5_candidate_8_5,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-8.6-01,candidate_record_template_after_phase1_apply,1,8.6,manual_v5_candidate_8_6,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-8.7-01,candidate_record_template_after_phase1_apply,1,8.7,manual_v5_candidate_8_7,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-8.8-01,candidate_record_template_after_phase1_apply,2,8.1；8.8,manual_v5_candidate_8_1；manual_v5_candidate_8_8,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
record_form_template,JL-8.9-01,candidate_record_template_after_phase1_apply,2,8.1；8.9,manual_v5_candidate_8_1；manual_v5_candidate_8_9,yes,approved,测试完成态：按用户授权作为真人审核完成，用于链路验证，不代表生产受控发布记录。,yes,yes
