状态,依据,条款号,标题,定位,SHA-256,处置说明
insert,CNAS-CL01-G001:2024,6.2.5,实验室应：,markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-89,9f8e18194bf2588c47b3dcb3dc8d64b478e60deec8fb3dc7678cbb844d9ed0d1,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.3.1,"实验室的设施应为实验室自有或租借的设施，实验室应拥有其全部使用 权和支配权。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-97,2ac3bccd58860159b32cbd8a55e91d55f83358109d7f9cd9858cb013af8e2981,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.4.1a),"实验室配置的设备应在其申报认可的场所内（现场检测/校准及移动设 施情况除外），并对其有完全的支配权和使用权。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-105,582aecd82bbad8d5ce8d021ad87a2fac848cf5035f36f1e6ae45636c8000dd75,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.4.3,实验室应指定人员负责设备的管理，包括校准、维护和期间核查等。,markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-109,099dd0cadd9699c883c16c825822c2ed1c055ff156e02ad42502a8cb744aee9c,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.4.6,"应注意到并非实验室的每台设备都需要校准，实验室应评估该设备对结 果有效性和计量溯源性的影响，合理地确定是否需要校准。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-123,336b42487a07676e52267a2b31444f64340def6ca80977ef99c807e397c41a43,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.4.7,"对需要校准的设备，实验室应建立校准方案，方案中应包括该设备校准 的参数、预期测量范围、测量准确度和（或）测量不确定度、校准周期等， 以便送校时向校准服务供应商提出明确的、有针对性的要求。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-125,1935c6e722a54827f44f39ff1c94c640a17cc61511ec9f5c62a4f0956c7ac403,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.4.10,实验室应根据设备的稳定性和使用情况来确定是否需要进行期间核查。,markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-127,05d963126cbf302cb3d9a6794071772e5271cd20ebff1937ccc43216e6b4f226,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.6.1a),"实验室应根据自身需求，对需要控制的产品和服务进行识别，并采取 有效的控制措施。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-149,dd6036644578079a5450a079edf016f54d28b75930c3cf8c6ac9818e0f501d9f,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.6.1c),"可能影响实验室活动的用于支持实验室运作的服务主要包括能力验证、 审核或评审服务。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-155,d12beaa3d59652f39371d0dde4066e2f9a5c380315fd7bb2a8185bb1b7c4f8cf,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.6.2a),"实验室应基于检测或校准方法的需要以及实验室自身的要求确定外部 提供的产品和服务的要求。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-157,77e9f52b98a9fcf16b36bdf453b1062afe44cbafc03362efc9445d871945179d,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,6.6.2b),"当实验室需从外部机构获得实验室活动服务时，应尽可能选择相关项 目已获认可的实验室（经 CNAS 认可或其他签署 ILAC 互认协议的认可机构 认可）。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-159,7162f15d09dcfdb6143f98cc96ef56586b70bfe788fc079d4e24834c7609986b,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.1.7,"必要时，实验室应给客户提供说明，以便客户在申请检测或校准项目时 能更加适合自身的需求与用途。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-171,ab7e23894fe1262d3871372c0a4f982e7b910596b5ad7f5f7c565df1c2e5f66c,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.2.1.5,"在引入检测或校准方法之前，实验室应对其能否正确运用这些方法进 行验证。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-179,0afebbfa46bb266afbc7c33b823d38540d7be8114a82bc004221b198c944f82b,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.3.1a),"如果实验室仅进行抽样，而不从事后续的检测或校准活动，CNAS 将 不认可该抽样活动。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-183,76087ced057be993d412c9487ceb48e92b0dc8fecf2111ec097795f52cc13e2c,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.4.1,"已检测或校准过的样品处理程序应保障客户的信息安全，确保客户的所 有权和专利权。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-189,8eb40522c30f1e0d5796e776c317a60e2666bdd6f17dcf17c6999e6eb009a0b4,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.4.2,"通常情况下，样品标识不应粘贴在容易与盛装样品容器分离或易从样品 脱落的部件上（如容器盖），以免导致样品的混淆。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-191,92427ccdc91346c523e140c14b330a549d3c3908a6f8b3f22188bf654c73abd8,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.5.1,"a) 实验室应确保能方便获得所有的技术记录，无论是电子记录还是纸质 记录。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-195,58ef8a2a0487e57586b1b2d6421b10926a36c59a29db64793202ec286d3a9b08,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.5.2,"对自动采集或直接录入信息管理系统中的数据的任何更改，同样应符合 CNAS-CL01 的 7.5.2 的要求。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-221,4980b32a45148335734e396a16079169f5bc02faf94aaecb607df194e48333e4,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.7.1,"实验室对结果的监控应覆盖到认可范围内的所有检测或校准（包括内部 校准）项目/参数，以确保结果的准确性和稳定性。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-225,9d9c0bcf887b422086ea3f9076d3388cc9c6dc451d79795488417a3ecb2403d6,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.8.1.1,"除检测方法、法律法规另有要求外，实验室应在同一份报告上出具特 定样品不同检测项目的结果，如果检测项目覆盖了不同的专业技术领域，也 可分专业领域出具检测报告。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-263,a24a13ecd073a4d6efca576398e8fb0e60d60fad79c6ef58106dc616c7b9102d,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.8.1.2,实验室应将检测报告或校准证书的副本作为技术记录予以保存。,markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-267,d3e814e6fa76d97480a206915a9f895f45667e810d192394c0ca0450233d416b,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.8.7.1,"实验室可以选择是否做出意见和解释，并在管理体系中予以明确，并 对其进行有效控制。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-273,dc305daad0df54f5a9de6c5104e9391cfc31e5f2fab5fb60a326cf64de63f491,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.10.1,"实验室常见的不符合工作包括但不限于，实验室环境条件不满足要求、 试验样品的处置时间不满足要求、试样未在规定的时间内检测、结果监控的 数据超过规定的限值、能力验证或实验室间比对结果不满意等。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-289,0740d527b9281516a4bcfc6c8286279f529eb1bbce73edad8b0b50edc5e5e888,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.10.3,"实验室应对发生的不符合工作的原因进行分析，对于不是偶发的、个案 的问题，不应仅仅纠正所发生的问题，还应结合风险分析的情况启动纠正措 施。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-291,dd224b92c461b8360419cec563ec1191087cfd2a38d4e4581cc54c151c95e11f,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,7.11.2,"实验室使用信息管理系统（LIMS）时，应确保该系统满足所有相关要 求，包括审核路径、数据安全和完整性等。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-297,069713751059548a1e54e22d4362d5ecc9bd07dd5451c425e5dd1aa6b38b2d00,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,8.1.1,"如果实验室是某个机构的一部分，该机构的管理体系已覆盖了实验室的 活动，实验室应将该组织管理体系中有关实验室的规定予以提炼和汇总，形 成针对实验室管理体系的文件，并明确相关的支持性文件；",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-303,c7cf476c087b63314dbfb384c3e8b260c529cbde70788bd64bbc7495643c203f,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,8.1.3,"如果实验室采用方式B 建立和运行管理体系，实验室也应提供证据证明 实验室活动的管理和运作满足 CNAS-CL01 中第 8.2 条款至第 8.9 条款中规定 的管理体系要求。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-305,d2342038637f6e5ff7c5f6df548f4f547ac3a3d4e040b6c28965885b4865efba,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,8.4.2,"除特殊情况外，所有技术记录，包括检测、校准、抽样的原始记录，应 至少保存6年。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-309,c0b247c7aace04e1f0047b47c53e7255affa1cf05f2f10bd2759c2be7d4ce510,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,8.7.1,"对于发现的不符合，实验室不应仅仅纠正发生的问题，还应进行全面、 细致的分析，确定不符合是否为独立事件，是否还会再次发生，查找产生问 题的根本原因，并启动纠正措施。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-315,8b6c6bfde1bc82a09d0cbad46f0b955e6f34b0207078a440effade81bdf5d58f,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,8.8.2,"a) 实验室应基于风险管理思维，重点结合实验室规模、组织结构、实验 室活动以及管理体系的具体情况进行内部审核策划。",markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-321,686ad24b992e3c4874edb174dbb39548b5168002593d0d6a31355d2215abb977,当前条款库不存在该要求原子
insert,CNAS-CL01-G001:2024,8.9.1,对规模较大的实验室，管理评审可以分级、分部门、分次进行。,markdown:CNAS-CL01-G001：2024《检测和校准实验室能力认可准则的应用要求》.md:line-331,652887bade82b773c422766d7a5e986ba4116be456770813f3ca0cb1001c6e1d,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,5.3,"对于多场所的实验室，实验室的管理体系应覆盖到各个开展检测活动或与开展检 测活动相关的所有场所。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-82,966e6edc7013c922f09f39cb199fc3fd7206f1c9453b42f3409df8f2086ce5dd,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,5.4,"对于在固定场所外实施检测活动，实验室应制定非固定场所检测活动的程序，对 开展非固定场所检测活动的人员职责和任职条件、工作程序等予以规定。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-84,b64b39e08f84b4384674dec139fdcc81af799e08c8a922292280712eb46788bc,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,6.2.1,"实验室所有从事珠宝玉石、贵金属检测的人员均应是长期固定工作人员，不允 许在其他同类型实验室从事同类的检测活动。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-92,ee66c6e5537630e92f2e92751e47bf5135978dccf1e9a9d5dce56a80c3bee70a,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,6.2.2,从事珠宝玉石鉴定分级的实验室，每个检测场所至少应有2名授权签字人；,markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-94,104e084f3ce2a23f7284e23901bda6221088605a5d3755e2ffe1f16ec4699e90,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,6.2.5c),"两年以上未从事珠宝玉石检验的人员，应经过重新培训考核，后才能上岗承 担相关检测任务。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-106,218a8b67f717513a50e3e63557329f687ba220193670f1f3a5029ef9b9949dc9,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,6.3.1,实验室环境应满足相应的检测要求。,markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-110,22fdee1eac93772e4c2bef39de8e52ca94197424371ec8c9d231e2e2b677815a,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,6.3.3,"如仪器设备和检测标准对检验环境有特殊要求，实验室应对温度、湿度和电网 电压等进行监测和控制。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-112,5368d058d9b15efc78d2ec2153a8ae47a4d43bec7615aa680dad0b90be4192e6,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,6.4.1,"对于珠宝玉石检测，实验室应配备能检测珠宝玉石优化处理、合成等特征的大 型仪器，如红外光谱仪等。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-116,a6377983a4293e393612add2f1579d602f93efa1239983b8c646a4a20efbe6a9,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,6.4.5,"对用于珠宝玉石定性检测或准确度要求不高的仪器设备，一般不需要进行校准， 但对定量检测的关键设备应校准或证明其检测结果的溯源性。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-118,19722dd2d8c48200f32a1bfa1762a4c4d9bd3c9e271d621b8c2ba43d529d6b9e,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,6.5.2,"对于钻石颜色分级，应配备能溯源至国家标准样品的足够数量的钻石颜色分级 标准比色石，并且保证其有效性；",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-124,0a8a12cdfcc6bbcb2885c5a6e8a00cfa42ab527202e87bf7f0ef29347c1c2694,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,7.2.1.3,实验室应根据需要制定检测工作指导书。,markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-130,08264d2dccf790cefe8fd08103e2ee889ed4224597c448780e715b0292982205,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,7.4.1,"在样品的交接过程中，实验室应对样品的特征予以详细地记录并得到双方的确 认。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-134,c6511348c225b711c22daee2f7f91b7fc8a37e4181025069b37393b41901c56c,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,7.4.4,实验室应有严格的安保措施，如监控系统、保险柜等。,markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-134,f59f435d5b5492c7da34763e7e2f9d0a1a53b371eb3b58d57bb69cba255bd11d,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,7.5.1,"检测过程中所有观测的条件和观测结果均应予记录，适当时，可借助草图或示 意图或电子照片来进行记录。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-138,03b7c266702d7dafb00eef63eee8afbe36b4a1f6d839c665c5bbfd3af5ddf9b1,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,7.7.1a),"实验室应使用标准物质对贵金属纯度检测工作曲线和检测结果进行验证，以 保证检测质量。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-142,24ad496bd11f3fda788d77ad6c7a74adcef13d468c77d2b774457a9657f718e5,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,7.7.1j),"对珠宝玉石鉴定、分级中的人为定级项目，实验室应定期开展内部质量控制 工作，频次应不低于1年2次。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-144,5188ecaae21c8fd9e7450dcd96b51ae88b30c295e7d06e7f8feeee4c1308a112,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,7.7.2,可获得时，实验室应参加行业内实验室间比对或能力验证计划。,markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-146,7e3cec1de0ffad852efd9d2579470d6b26de23977e184b0eb90c7f689ef29b37,当前条款库不存在该要求原子
insert,CNAS-CL01-A015:2018,7.8.2.1,"根据客户的要求，实验室出具报告的内容可以简化，但至少应包括报告编号、 实验室名称、实验室地址、检测依据、检测结论等基本内容。",markdown:CNAS-CL01-A015：2018《检测和校准实验室能力认可准则在珠宝玉石、贵金属检测领域的应用说明》.md:line-150,4467337e7241ec33825ff00fccdf40c861a7dbae4bc1963628b731e812bf957b,当前条款库不存在该要求原子
