handback_field_id,field_task_id,workbook_item_id,return_item_id,pilot_evidence_id,closure_item_id,field_group,missing_field,target_file,target_field,required_input,real_input_value,why_required,owner_role,patch_id,source_patch_action,source_block_reason,field_status,blocks_apply,real_execution_required,not_imported,not_lims_record_yet
GCPOH-F011,GCPOW-001-F11,GCPOW-001,GCPR-001,GCPE-001,GC-0076,pilot_handoff,actual_finish_date,governance_closure_workbench/04-拟关闭回填模板.csv,blocks_apply,填写实际完成日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-011,签核交接完成前必须保留执行人、复核人和完成日期。,业务受理/技术负责人,GCPSU-011,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F012,GCPOW-002-F01,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,evidence_reference,governance_closure_workbench/03-证据采集模板.csv,evidence_reference,填写可追溯证据名称、编号、文件路径或会议/培训/评审记录编号。,TEST-COMPLETE-REAL-FIELD-012,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-012,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F013,GCPOW-002-F02,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,evidence_summary,governance_closure_workbench/03-证据采集模板.csv,evidence_owner,简述证据证明了什么，不得只写“已完成”。,TEST-COMPLETE-REAL-FIELD-013,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-013,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F014,GCPOW-002-F03,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,closure_comment,governance_closure_workbench/03-证据采集模板.csv,evidence_date,写明为什么该阻断项可关闭，必要时列出仍需跟踪事项。,TEST-COMPLETE-REAL-FIELD-014,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-014,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F015,GCPOW-002-F04,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,reviewer,governance_closure_workbench/03-证据采集模板.csv,evidence_result,填写实际复核人或责任岗位确认人。,TEST-COMPLETE-REAL-FIELD-015,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-015,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F016,GCPOW-002-F05,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,review_date,governance_closure_workbench/04-拟关闭回填模板.csv,evidence_reference,填写实际复核日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-016,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,全体影响检测活动人员,GCPSU-016,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F017,GCPOW-002-F06,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_evidence,evidence_status,governance_closure_workbench/04-拟关闭回填模板.csv,closure_comment,试点证据真实形成并可追溯后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-017,试点证据状态必须为 ready 后才可预览回填源工作台。,全体影响检测活动人员,GCPSU-017,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F018,GCPOW-002-F07,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_handoff,signature_status,governance_closure_workbench/04-拟关闭回填模板.csv,reviewer,岗位签核完成后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-018,岗位签核必须 completed 后才可回填源工作台。,全体影响检测活动人员,GCPSU-018,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F019,GCPOW-002-F08,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_handoff,handoff_status,governance_closure_workbench/04-拟关闭回填模板.csv,review_date,交接复核完成后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-019,交接复核必须 completed 后才可回填源工作台。,全体影响检测活动人员,GCPSU-019,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F020,GCPOW-002-F09,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_handoff,assigned_person,governance_closure_workbench/04-拟关闭回填模板.csv,proposed_closure_status,填写实际执行人；没有明确人员时不得关闭。,TEST-COMPLETE-REAL-FIELD-020,签核交接完成前必须保留执行人、复核人和完成日期。,全体影响检测活动人员,GCPSU-020,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F021,GCPOW-002-F10,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_handoff,reviewer,governance_closure_workbench/04-拟关闭回填模板.csv,closure_result,填写实际复核人或责任岗位确认人。,TEST-COMPLETE-REAL-FIELD-021,签核交接完成前必须保留执行人、复核人和完成日期。,全体影响检测活动人员,GCPSU-021,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F022,GCPOW-002-F11,GCPOW-002,GCPR-002,GCPE-002,GC-0133,pilot_handoff,actual_finish_date,governance_closure_workbench/04-拟关闭回填模板.csv,blocks_apply,填写实际完成日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-022,签核交接完成前必须保留执行人、复核人和完成日期。,全体影响检测活动人员,GCPSU-022,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F023,GCPOW-003-F01,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_evidence,evidence_reference,governance_closure_workbench/03-证据采集模板.csv,evidence_reference,填写可追溯证据名称、编号、文件路径或会议/培训/评审记录编号。,TEST-COMPLETE-REAL-FIELD-023,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,内审组长,GCPSU-023,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F024,GCPOW-003-F02,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_evidence,evidence_summary,governance_closure_workbench/03-证据采集模板.csv,evidence_owner,简述证据证明了什么，不得只写“已完成”。,TEST-COMPLETE-REAL-FIELD-024,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,内审组长,GCPSU-024,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F025,GCPOW-003-F03,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_evidence,closure_comment,governance_closure_workbench/03-证据采集模板.csv,evidence_date,写明为什么该阻断项可关闭，必要时列出仍需跟踪事项。,TEST-COMPLETE-REAL-FIELD-025,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,内审组长,GCPSU-025,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F026,GCPOW-003-F04,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_evidence,reviewer,governance_closure_workbench/03-证据采集模板.csv,evidence_result,填写实际复核人或责任岗位确认人。,TEST-COMPLETE-REAL-FIELD-026,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,内审组长,GCPSU-026,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F027,GCPOW-003-F05,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_evidence,review_date,governance_closure_workbench/04-拟关闭回填模板.csv,evidence_reference,填写实际复核日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-027,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,内审组长,GCPSU-027,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F028,GCPOW-003-F06,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_evidence,evidence_status,governance_closure_workbench/04-拟关闭回填模板.csv,closure_comment,试点证据真实形成并可追溯后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-028,试点证据状态必须为 ready 后才可预览回填源工作台。,内审组长,GCPSU-028,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F029,GCPOW-003-F07,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_handoff,signature_status,governance_closure_workbench/04-拟关闭回填模板.csv,reviewer,岗位签核完成后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-029,岗位签核必须 completed 后才可回填源工作台。,内审组长,GCPSU-029,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F030,GCPOW-003-F08,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_handoff,handoff_status,governance_closure_workbench/04-拟关闭回填模板.csv,review_date,交接复核完成后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-030,交接复核必须 completed 后才可回填源工作台。,内审组长,GCPSU-030,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F031,GCPOW-003-F09,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_handoff,assigned_person,governance_closure_workbench/04-拟关闭回填模板.csv,proposed_closure_status,填写实际执行人；没有明确人员时不得关闭。,TEST-COMPLETE-REAL-FIELD-031,签核交接完成前必须保留执行人、复核人和完成日期。,内审组长,GCPSU-031,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F032,GCPOW-003-F10,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_handoff,reviewer,governance_closure_workbench/04-拟关闭回填模板.csv,closure_result,填写实际复核人或责任岗位确认人。,TEST-COMPLETE-REAL-FIELD-032,签核交接完成前必须保留执行人、复核人和完成日期。,内审组长,GCPSU-032,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F033,GCPOW-003-F11,GCPOW-003,GCPR-003,GCPE-003,GC-0092,pilot_handoff,actual_finish_date,governance_closure_workbench/04-拟关闭回填模板.csv,blocks_apply,填写实际完成日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-033,签核交接完成前必须保留执行人、复核人和完成日期。,内审组长,GCPSU-033,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F034,GCPOW-004-F01,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_evidence,evidence_reference,governance_closure_workbench/03-证据采集模板.csv,evidence_reference,填写可追溯证据名称、编号、文件路径或会议/培训/评审记录编号。,TEST-COMPLETE-REAL-FIELD-034,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,原记录人员/复核人员,GCPSU-034,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F035,GCPOW-004-F02,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_evidence,evidence_summary,governance_closure_workbench/03-证据采集模板.csv,evidence_owner,简述证据证明了什么，不得只写“已完成”。,TEST-COMPLETE-REAL-FIELD-035,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,原记录人员/复核人员,GCPSU-035,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F036,GCPOW-004-F03,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_evidence,closure_comment,governance_closure_workbench/03-证据采集模板.csv,evidence_date,写明为什么该阻断项可关闭，必要时列出仍需跟踪事项。,TEST-COMPLETE-REAL-FIELD-036,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,原记录人员/复核人员,GCPSU-036,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F037,GCPOW-004-F04,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_evidence,reviewer,governance_closure_workbench/03-证据采集模板.csv,evidence_result,填写实际复核人或责任岗位确认人。,TEST-COMPLETE-REAL-FIELD-037,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,原记录人员/复核人员,GCPSU-037,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F038,GCPOW-004-F05,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_evidence,review_date,governance_closure_workbench/04-拟关闭回填模板.csv,evidence_reference,填写实际复核日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-038,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,原记录人员/复核人员,GCPSU-038,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F039,GCPOW-004-F06,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_evidence,evidence_status,governance_closure_workbench/04-拟关闭回填模板.csv,closure_comment,试点证据真实形成并可追溯后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-039,试点证据状态必须为 ready 后才可预览回填源工作台。,原记录人员/复核人员,GCPSU-039,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F040,GCPOW-004-F07,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_handoff,signature_status,governance_closure_workbench/04-拟关闭回填模板.csv,reviewer,岗位签核完成后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-040,岗位签核必须 completed 后才可回填源工作台。,原记录人员/复核人员,GCPSU-040,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F041,GCPOW-004-F08,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_handoff,handoff_status,governance_closure_workbench/04-拟关闭回填模板.csv,review_date,交接复核完成后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-041,交接复核必须 completed 后才可回填源工作台。,原记录人员/复核人员,GCPSU-041,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F042,GCPOW-004-F09,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_handoff,assigned_person,governance_closure_workbench/04-拟关闭回填模板.csv,proposed_closure_status,填写实际执行人；没有明确人员时不得关闭。,TEST-COMPLETE-REAL-FIELD-042,签核交接完成前必须保留执行人、复核人和完成日期。,原记录人员/复核人员,GCPSU-042,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F043,GCPOW-004-F10,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_handoff,reviewer,governance_closure_workbench/04-拟关闭回填模板.csv,closure_result,填写实际复核人或责任岗位确认人。,TEST-COMPLETE-REAL-FIELD-043,签核交接完成前必须保留执行人、复核人和完成日期。,原记录人员/复核人员,GCPSU-043,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F044,GCPOW-004-F11,GCPOW-004,GCPR-004,GCPE-004,GC-0080,pilot_handoff,actual_finish_date,governance_closure_workbench/04-拟关闭回填模板.csv,blocks_apply,填写实际完成日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-044,签核交接完成前必须保留执行人、复核人和完成日期。,原记录人员/复核人员,GCPSU-044,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F045,GCPOW-005-F01,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_evidence,evidence_reference,governance_closure_workbench/03-证据采集模板.csv,evidence_reference,填写可追溯证据名称、编号、文件路径或会议/培训/评审记录编号。,TEST-COMPLETE-REAL-FIELD-045,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,复核人/授权签字人,GCPSU-045,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F046,GCPOW-005-F02,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_evidence,evidence_summary,governance_closure_workbench/03-证据采集模板.csv,evidence_owner,简述证据证明了什么，不得只写“已完成”。,TEST-COMPLETE-REAL-FIELD-046,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,复核人/授权签字人,GCPSU-046,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F047,GCPOW-005-F03,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_evidence,closure_comment,governance_closure_workbench/03-证据采集模板.csv,evidence_date,写明为什么该阻断项可关闭，必要时列出仍需跟踪事项。,TEST-COMPLETE-REAL-FIELD-047,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,复核人/授权签字人,GCPSU-047,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F048,GCPOW-005-F04,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_evidence,reviewer,governance_closure_workbench/03-证据采集模板.csv,evidence_result,填写实际复核人或责任岗位确认人。,TEST-COMPLETE-REAL-FIELD-048,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,复核人/授权签字人,GCPSU-048,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F049,GCPOW-005-F05,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_evidence,review_date,governance_closure_workbench/04-拟关闭回填模板.csv,evidence_reference,填写实际复核日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-049,试点证据和关闭意见回填前必须形成可追溯证据、意见、复核人和日期。,复核人/授权签字人,GCPSU-049,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F050,GCPOW-005-F06,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_evidence,evidence_status,governance_closure_workbench/04-拟关闭回填模板.csv,closure_comment,试点证据真实形成并可追溯后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-050,试点证据状态必须为 ready 后才可预览回填源工作台。,复核人/授权签字人,GCPSU-050,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F051,GCPOW-005-F07,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_handoff,signature_status,governance_closure_workbench/04-拟关闭回填模板.csv,reviewer,岗位签核完成后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-051,岗位签核必须 completed 后才可回填源工作台。,复核人/授权签字人,GCPSU-051,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F052,GCPOW-005-F08,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_handoff,handoff_status,governance_closure_workbench/04-拟关闭回填模板.csv,review_date,交接复核完成后才可由 pending 改为 completed。,TEST-COMPLETE-REAL-FIELD-052,交接复核必须 completed 后才可回填源工作台。,复核人/授权签字人,GCPSU-052,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F053,GCPOW-005-F09,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_handoff,assigned_person,governance_closure_workbench/04-拟关闭回填模板.csv,proposed_closure_status,填写实际执行人；没有明确人员时不得关闭。,TEST-COMPLETE-REAL-FIELD-053,签核交接完成前必须保留执行人、复核人和完成日期。,复核人/授权签字人,GCPSU-053,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F054,GCPOW-005-F10,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_handoff,reviewer,governance_closure_workbench/04-拟关闭回填模板.csv,closure_result,填写实际复核人或责任岗位确认人。,TEST-COMPLETE-REAL-FIELD-054,签核交接完成前必须保留执行人、复核人和完成日期。,复核人/授权签字人,GCPSU-054,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
GCPOH-F055,GCPOW-005-F11,GCPOW-005,GCPR-005,GCPE-005,GC-0083,pilot_handoff,actual_finish_date,governance_closure_workbench/04-拟关闭回填模板.csv,blocks_apply,填写实际完成日期，格式建议 YYYY-MM-DD。,TEST-COMPLETE-REAL-FIELD-055,签核交接完成前必须保留执行人、复核人和完成日期。,复核人/授权签字人,GCPSU-055,blocked_no_update,pilot_return_not_ready,completed,no,yes,yes,yes
