learning_task_id,source_training_item_id,role_group,topic,source_object,trigger,required_before_effective,blocks_release_if_pending,learning_materials,implementation_check,evidence_to_collect,human_confirmation_status,not_real_record,not_real_record_marker
TRN-004-R01,TRN-004,对应过程填写人员,候选记录模板填写与更正规则,JL-4.1-01 公正性风险识别与处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-4.1-01-公正性风险识别与处置记录-字段字典.md；record_template_full_trial_pack/JL-4.1-01-公正性风险识别与处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-004-R02,TRN-004,复核人员,候选记录模板填写与更正规则,JL-4.1-01 公正性风险识别与处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-4.1-01-公正性风险识别与处置记录-字段字典.md；record_template_full_trial_pack/JL-4.1-01-公正性风险识别与处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-004-R03,TRN-004,文件管理员,候选记录模板填写与更正规则,JL-4.1-01 公正性风险识别与处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-4.1-01-公正性风险识别与处置记录-字段字典.md；record_template_full_trial_pack/JL-4.1-01-公正性风险识别与处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-005-R01,TRN-005,对应过程填写人员,候选记录模板填写与更正规则,JL-4.2-01 保密承诺与权限确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-4.2-01-保密承诺与权限确认记录-字段字典.md；record_template_full_trial_pack/JL-4.2-01-保密承诺与权限确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-005-R02,TRN-005,复核人员,候选记录模板填写与更正规则,JL-4.2-01 保密承诺与权限确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-4.2-01-保密承诺与权限确认记录-字段字典.md；record_template_full_trial_pack/JL-4.2-01-保密承诺与权限确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-005-R03,TRN-005,文件管理员,候选记录模板填写与更正规则,JL-4.2-01 保密承诺与权限确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-4.2-01-保密承诺与权限确认记录-字段字典.md；record_template_full_trial_pack/JL-4.2-01-保密承诺与权限确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-006-R01,TRN-006,对应过程填写人员,候选记录模板填写与更正规则,JL-5-01 岗位职责与授权确认表,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-5-01-岗位职责与授权确认表-字段字典.md；record_template_full_trial_pack/JL-5-01-岗位职责与授权确认表-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-006-R02,TRN-006,复核人员,候选记录模板填写与更正规则,JL-5-01 岗位职责与授权确认表,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-5-01-岗位职责与授权确认表-字段字典.md；record_template_full_trial_pack/JL-5-01-岗位职责与授权确认表-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-006-R03,TRN-006,文件管理员,候选记录模板填写与更正规则,JL-5-01 岗位职责与授权确认表,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-5-01-岗位职责与授权确认表-字段字典.md；record_template_full_trial_pack/JL-5-01-岗位职责与授权确认表-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-007-R01,TRN-007,对应过程填写人员,候选记录模板填写与更正规则,JL-6.2-01 人员能力确认与授权记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.2-01-人员能力确认与授权记录-字段字典.md；record_template_full_trial_pack/JL-6.2-01-人员能力确认与授权记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-007-R02,TRN-007,复核人员,候选记录模板填写与更正规则,JL-6.2-01 人员能力确认与授权记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.2-01-人员能力确认与授权记录-字段字典.md；record_template_full_trial_pack/JL-6.2-01-人员能力确认与授权记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-007-R03,TRN-007,文件管理员,候选记录模板填写与更正规则,JL-6.2-01 人员能力确认与授权记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.2-01-人员能力确认与授权记录-字段字典.md；record_template_full_trial_pack/JL-6.2-01-人员能力确认与授权记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-008-R01,TRN-008,对应过程填写人员,候选记录模板填写与更正规则,JL-6.3-01 环境条件监控与异常处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.3-01-环境条件监控与异常处置记录-字段字典.md；record_template_full_trial_pack/JL-6.3-01-环境条件监控与异常处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-008-R02,TRN-008,复核人员,候选记录模板填写与更正规则,JL-6.3-01 环境条件监控与异常处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.3-01-环境条件监控与异常处置记录-字段字典.md；record_template_full_trial_pack/JL-6.3-01-环境条件监控与异常处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-008-R03,TRN-008,文件管理员,候选记录模板填写与更正规则,JL-6.3-01 环境条件监控与异常处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.3-01-环境条件监控与异常处置记录-字段字典.md；record_template_full_trial_pack/JL-6.3-01-环境条件监控与异常处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-009-R01,TRN-009,对应过程填写人员,候选记录模板填写与更正规则,JL-6.4-01 设备状态与期间核查记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.4-01-设备状态与期间核查记录-字段字典.md；record_template_full_trial_pack/JL-6.4-01-设备状态与期间核查记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-009-R02,TRN-009,复核人员,候选记录模板填写与更正规则,JL-6.4-01 设备状态与期间核查记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.4-01-设备状态与期间核查记录-字段字典.md；record_template_full_trial_pack/JL-6.4-01-设备状态与期间核查记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-009-R03,TRN-009,文件管理员,候选记录模板填写与更正规则,JL-6.4-01 设备状态与期间核查记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.4-01-设备状态与期间核查记录-字段字典.md；record_template_full_trial_pack/JL-6.4-01-设备状态与期间核查记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-010-R01,TRN-010,对应过程填写人员,候选记录模板填写与更正规则,JL-6.5-01 计量溯源结果确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.5-01-计量溯源结果确认记录-字段字典.md；record_template_full_trial_pack/JL-6.5-01-计量溯源结果确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-010-R02,TRN-010,复核人员,候选记录模板填写与更正规则,JL-6.5-01 计量溯源结果确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.5-01-计量溯源结果确认记录-字段字典.md；record_template_full_trial_pack/JL-6.5-01-计量溯源结果确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-010-R03,TRN-010,文件管理员,候选记录模板填写与更正规则,JL-6.5-01 计量溯源结果确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.5-01-计量溯源结果确认记录-字段字典.md；record_template_full_trial_pack/JL-6.5-01-计量溯源结果确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-011-R01,TRN-011,对应过程填写人员,候选记录模板填写与更正规则,JL-6.6-01 外部服务与供应品评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.6-01-外部服务与供应品评价记录-字段字典.md；record_template_full_trial_pack/JL-6.6-01-外部服务与供应品评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-011-R02,TRN-011,复核人员,候选记录模板填写与更正规则,JL-6.6-01 外部服务与供应品评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.6-01-外部服务与供应品评价记录-字段字典.md；record_template_full_trial_pack/JL-6.6-01-外部服务与供应品评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-011-R03,TRN-011,文件管理员,候选记录模板填写与更正规则,JL-6.6-01 外部服务与供应品评价记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-6.6-01-外部服务与供应品评价记录-字段字典.md；record_template_full_trial_pack/JL-6.6-01-外部服务与供应品评价记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-012-R01,TRN-012,对应过程填写人员,候选记录模板填写与更正规则,JL-7.1-01 合同评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.1-01-合同评审记录-字段字典.md；record_template_full_trial_pack/JL-7.1-01-合同评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-012-R02,TRN-012,复核人员,候选记录模板填写与更正规则,JL-7.1-01 合同评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.1-01-合同评审记录-字段字典.md；record_template_full_trial_pack/JL-7.1-01-合同评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-012-R03,TRN-012,文件管理员,候选记录模板填写与更正规则,JL-7.1-01 合同评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.1-01-合同评审记录-字段字典.md；record_template_full_trial_pack/JL-7.1-01-合同评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-013-R01,TRN-013,对应过程填写人员,候选记录模板填写与更正规则,JL-7.2-01 方法验证/确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.2-01-方法验证-确认记录-字段字典.md；record_template_full_trial_pack/JL-7.2-01-方法验证确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-013-R02,TRN-013,复核人员,候选记录模板填写与更正规则,JL-7.2-01 方法验证/确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.2-01-方法验证-确认记录-字段字典.md；record_template_full_trial_pack/JL-7.2-01-方法验证确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-013-R03,TRN-013,文件管理员,候选记录模板填写与更正规则,JL-7.2-01 方法验证/确认记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.2-01-方法验证-确认记录-字段字典.md；record_template_full_trial_pack/JL-7.2-01-方法验证确认记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-014-R01,TRN-014,对应过程填写人员,候选记录模板填写与更正规则,JL-7.3-01 抽样条件启用评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.3-01-抽样条件启用评审记录-字段字典.md；record_template_full_trial_pack/JL-7.3-01-抽样条件启用评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-014-R02,TRN-014,复核人员,候选记录模板填写与更正规则,JL-7.3-01 抽样条件启用评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.3-01-抽样条件启用评审记录-字段字典.md；record_template_full_trial_pack/JL-7.3-01-抽样条件启用评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-014-R03,TRN-014,文件管理员,候选记录模板填写与更正规则,JL-7.3-01 抽样条件启用评审记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.3-01-抽样条件启用评审记录-字段字典.md；record_template_full_trial_pack/JL-7.3-01-抽样条件启用评审记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-015-R01,TRN-015,对应过程填写人员,候选记录模板填写与更正规则,JL-7.4-01 样品接收与异常处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.4-01-样品接收与异常处置记录-字段字典.md；record_template_full_trial_pack/JL-7.4-01-样品接收与异常处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-015-R02,TRN-015,复核人员,候选记录模板填写与更正规则,JL-7.4-01 样品接收与异常处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.4-01-样品接收与异常处置记录-字段字典.md；record_template_full_trial_pack/JL-7.4-01-样品接收与异常处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-015-R03,TRN-015,文件管理员,候选记录模板填写与更正规则,JL-7.4-01 样品接收与异常处置记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.4-01-样品接收与异常处置记录-字段字典.md；record_template_full_trial_pack/JL-7.4-01-样品接收与异常处置记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-016-R01,TRN-016,对应过程填写人员,候选记录模板填写与更正规则,JL-7.5-01 技术记录更正记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.5-01-技术记录更正记录-字段字典.md；record_template_full_trial_pack/JL-7.5-01-技术记录更正记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-016-R02,TRN-016,复核人员,候选记录模板填写与更正规则,JL-7.5-01 技术记录更正记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.5-01-技术记录更正记录-字段字典.md；record_template_full_trial_pack/JL-7.5-01-技术记录更正记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
TRN-016-R03,TRN-016,文件管理员,候选记录模板填写与更正规则,JL-7.5-01 技术记录更正记录,记录模板批准启用前,yes,yes,13-记录模板包-候选清单.md；record_template_field_catalog/templates/JL-7.5-01-技术记录更正记录-字段字典.md；record_template_full_trial_pack/JL-7.5-01-技术记录更正记录-试填.md；record_template_field_catalog/03-通用字段覆盖矩阵.md,能按字段字典和试填样表说明记录何时填写、谁填写、谁复核、如何更正、保存在哪里。,模板填写说明、试填反馈、签核与保存规则确认,completed,yes,SIMULATED_TRAINING_NOT_REAL_RECORD
