patch_id,return_item_id,closure_item_id,target_file,target_row_key,target_field,current_value,proposed_value,proposed_value_source,patch_action,update_ready,block_reason,ready_for_manual_source_update,not_imported,not_real_record,no_source_modified
GCPSU-011,GCPR-001,GC-0076,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0076,blocks_apply,yes,TEST-COMPLETE-SOURCE-011,__no_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-012,GCPR-002,GC-0133,governance_closure_workbench/03-证据采集模板.csv,GC-0133,evidence_reference,,TEST-COMPLETE-SOURCE-012,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-013,GCPR-002,GC-0133,governance_closure_workbench/03-证据采集模板.csv,GC-0133,evidence_owner,,TEST-COMPLETE-SOURCE-013,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-014,GCPR-002,GC-0133,governance_closure_workbench/03-证据采集模板.csv,GC-0133,evidence_date,,TEST-COMPLETE-SOURCE-014,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-015,GCPR-002,GC-0133,governance_closure_workbench/03-证据采集模板.csv,GC-0133,evidence_result,,TEST-COMPLETE-SOURCE-015,proposed_evidence_summary,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-016,GCPR-002,GC-0133,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0133,evidence_reference,,TEST-COMPLETE-SOURCE-016,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-017,GCPR-002,GC-0133,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0133,closure_comment,,TEST-COMPLETE-SOURCE-017,proposed_closure_comment,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-018,GCPR-002,GC-0133,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0133,reviewer,,TEST-COMPLETE-SOURCE-018,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-019,GCPR-002,GC-0133,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0133,review_date,,TEST-COMPLETE-SOURCE-019,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-020,GCPR-002,GC-0133,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0133,proposed_closure_status,,TEST-COMPLETE-SOURCE-020,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-021,GCPR-002,GC-0133,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0133,closure_result,pending,TEST-COMPLETE-SOURCE-021,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-022,GCPR-002,GC-0133,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0133,blocks_apply,yes,TEST-COMPLETE-SOURCE-022,__no_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-023,GCPR-003,GC-0092,governance_closure_workbench/03-证据采集模板.csv,GC-0092,evidence_reference,,TEST-COMPLETE-SOURCE-023,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-024,GCPR-003,GC-0092,governance_closure_workbench/03-证据采集模板.csv,GC-0092,evidence_owner,,TEST-COMPLETE-SOURCE-024,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-025,GCPR-003,GC-0092,governance_closure_workbench/03-证据采集模板.csv,GC-0092,evidence_date,,TEST-COMPLETE-SOURCE-025,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-026,GCPR-003,GC-0092,governance_closure_workbench/03-证据采集模板.csv,GC-0092,evidence_result,,TEST-COMPLETE-SOURCE-026,proposed_evidence_summary,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-027,GCPR-003,GC-0092,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0092,evidence_reference,,TEST-COMPLETE-SOURCE-027,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-028,GCPR-003,GC-0092,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0092,closure_comment,,TEST-COMPLETE-SOURCE-028,proposed_closure_comment,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-029,GCPR-003,GC-0092,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0092,reviewer,,TEST-COMPLETE-SOURCE-029,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-030,GCPR-003,GC-0092,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0092,review_date,,TEST-COMPLETE-SOURCE-030,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-031,GCPR-003,GC-0092,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0092,proposed_closure_status,,TEST-COMPLETE-SOURCE-031,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-032,GCPR-003,GC-0092,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0092,closure_result,pending,TEST-COMPLETE-SOURCE-032,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-033,GCPR-003,GC-0092,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0092,blocks_apply,yes,TEST-COMPLETE-SOURCE-033,__no_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-034,GCPR-004,GC-0080,governance_closure_workbench/03-证据采集模板.csv,GC-0080,evidence_reference,,TEST-COMPLETE-SOURCE-034,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-035,GCPR-004,GC-0080,governance_closure_workbench/03-证据采集模板.csv,GC-0080,evidence_owner,,TEST-COMPLETE-SOURCE-035,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-036,GCPR-004,GC-0080,governance_closure_workbench/03-证据采集模板.csv,GC-0080,evidence_date,,TEST-COMPLETE-SOURCE-036,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-037,GCPR-004,GC-0080,governance_closure_workbench/03-证据采集模板.csv,GC-0080,evidence_result,,TEST-COMPLETE-SOURCE-037,proposed_evidence_summary,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-038,GCPR-004,GC-0080,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0080,evidence_reference,,TEST-COMPLETE-SOURCE-038,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-039,GCPR-004,GC-0080,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0080,closure_comment,,TEST-COMPLETE-SOURCE-039,proposed_closure_comment,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-040,GCPR-004,GC-0080,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0080,reviewer,,TEST-COMPLETE-SOURCE-040,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-041,GCPR-004,GC-0080,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0080,review_date,,TEST-COMPLETE-SOURCE-041,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-042,GCPR-004,GC-0080,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0080,proposed_closure_status,,TEST-COMPLETE-SOURCE-042,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-043,GCPR-004,GC-0080,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0080,closure_result,pending,TEST-COMPLETE-SOURCE-043,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-044,GCPR-004,GC-0080,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0080,blocks_apply,yes,TEST-COMPLETE-SOURCE-044,__no_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-045,GCPR-005,GC-0083,governance_closure_workbench/03-证据采集模板.csv,GC-0083,evidence_reference,,TEST-COMPLETE-SOURCE-045,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-046,GCPR-005,GC-0083,governance_closure_workbench/03-证据采集模板.csv,GC-0083,evidence_owner,,TEST-COMPLETE-SOURCE-046,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-047,GCPR-005,GC-0083,governance_closure_workbench/03-证据采集模板.csv,GC-0083,evidence_date,,TEST-COMPLETE-SOURCE-047,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-048,GCPR-005,GC-0083,governance_closure_workbench/03-证据采集模板.csv,GC-0083,evidence_result,,TEST-COMPLETE-SOURCE-048,proposed_evidence_summary,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-049,GCPR-005,GC-0083,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0083,evidence_reference,,TEST-COMPLETE-SOURCE-049,proposed_evidence_reference,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-050,GCPR-005,GC-0083,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0083,closure_comment,,TEST-COMPLETE-SOURCE-050,proposed_closure_comment,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-051,GCPR-005,GC-0083,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0083,reviewer,,TEST-COMPLETE-SOURCE-051,proposed_reviewer,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-052,GCPR-005,GC-0083,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0083,review_date,,TEST-COMPLETE-SOURCE-052,proposed_review_date,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-053,GCPR-005,GC-0083,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0083,proposed_closure_status,,TEST-COMPLETE-SOURCE-053,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-054,GCPR-005,GC-0083,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0083,closure_result,pending,TEST-COMPLETE-SOURCE-054,__closed_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
GCPSU-055,GCPR-005,GC-0083,governance_closure_workbench/04-拟关闭回填模板.csv,GC-0083,blocks_apply,yes,TEST-COMPLETE-SOURCE-055,__no_when_ready__,manual_update_candidate,yes,,yes,yes,yes,yes
