官方编号,系统是否存在,系统标题,处置,核验依据
"6.5","是","计量溯源性","保留","markdown.zip/GB/T 27025-2019"
"6.5.1","是","计量溯源建立","保留","markdown.zip/GB/T 27025-2019"
"6.5.2","是","计量溯源实现","保留","markdown.zip/GB/T 27025-2019"
"6.5.3","是","无法实现 SI 溯源时的替代方式","保留","markdown.zip/GB/T 27025-2019"
"6.6","是","外部提供的产品和服务","保留","markdown.zip/GB/T 27025-2019"
"6.6.1","是","外部提供产品和服务适用情形","保留","markdown.zip/GB/T 27025-2019"
"6.6.2","是","外部提供产品和服务程序","保留","markdown.zip/GB/T 27025-2019"
"6.6.3","是","外部供应方沟�","保留","markdown.zip/GB/T 27025-2019"
"7","是","过程要求","保留","markdown.zip/GB/T 27025-2019"
"7.1","是","要求,标书和合同的评审","保留","markdown.zip/GB/T 27025-2019"
"7.1.1","是","评审程序","保留","markdown.zip/GB/T 27025-2019"
"7.1.2","是","方法适宜性告知","保留","markdown.zip/GB/T 27025-2019"
"7.1.3","是","符合性声明决策规则","保留","markdown.zip/GB/T 27025-2019"
"7.1.4","是","合同偏离处理","保留","markdown.zip/GB/T 27025-2019"
"7.1.5","是","合同差异处理","保留","markdown.zip/GB/T 27025-2019"
"7.1.6","是","合同变更","保留","markdown.zip/GB/T 27025-2019"
"7.1.7","是","客户合作","保留","markdown.zip/GB/T 27025-2019"
"7.1.8","是","评审记录","保留","markdown.zip/GB/T 27025-2019"
"7.2","是","方法的选择.验证和确认","保留","markdown.zip/GB/T 27025-2019"
"7.2.1","是","方法的选择和验证","保留","markdown.zip/GB/T 27025-2019"
"7.2.1.1","是","方法和程序适宜性","保留","markdown.zip/GB/T 27025-2019"
"7.2.1.2","是","方法版本控制","保留","markdown.zip/GB/T 27025-2019"
"7.2.1.3","是","方法选择","保留","markdown.zip/GB/T 27025-2019"
"7.2.1.4","是","方法偏离控制","保留","markdown.zip/GB/T 27025-2019"
"7.2.1.5","是","方法验证","保留","markdown.zip/GB/T 27025-2019"
"7.2.1.6","否","","补录","markdown.zip/GB/T 27025-2019"
"7.2.1.7","是","非标准方法协商","保留","markdown.zip/GB/T 27025-2019"
"7.2.2","是","”方法确认","保留","markdown.zip/GB/T 27025-2019"
"7.2.2.1","是","方法确认适用情形","保留","markdown.zip/GB/T 27025-2019"
"7.2.2.2","是","方法确认变更","保留","markdown.zip/GB/T 27025-2019"
"7.2.2.3","是","方法确认性能","保留","markdown.zip/GB/T 27025-2019"
"7.2.2.4","是","实验室应保存以下方法确认记录","保留","markdown.zip/GB/T 27025-2019"
"7.3","是","抽样","保留","markdown.zip/GB/T 27025-2019"
"7.3.1","是","抽样计划和方法","保留","markdown.zip/GB/T 27025-2019"
"7.3.2","是","”抽样方法应描述","保留","markdown.zip/GB/T 27025-2019"
"7.3.3","是","抽样记录","保留","markdown.zip/GB/T 27025-2019"
"7.4","是","检测或校准物品的处置","保留","markdown.zip/GB/T 27025-2019"
"7.4.1","是","物品运输接收处置保护","保留","markdown.zip/GB/T 27025-2019"
"7.4.2","是","物品标识","保留","markdown.zip/GB/T 27025-2019"
"7.4.3","是","物品偏离处理","保留","markdown.zip/GB/T 27025-2019"
"7.4.4","是","物品环境条件控制","保留","markdown.zip/GB/T 27025-2019"
"7.5","是","技术记录","保留","markdown.zip/GB/T 27025-2019"
"7.5.1","是","技术记录内容","保留","markdown.zip/GB/T 27025-2019"
"7.5.2","是","技术记录修改","保留","markdown.zip/GB/T 27025-2019"
"7.6","是","测量不确定度的评�","保留","markdown.zip/GB/T 27025-2019"
"7.6.1","是","不确定度贡献识别","保留","markdown.zip/GB/T 27025-2019"
"7.6.2","是","校准实验室不确定度评�","保留","markdown.zip/GB/T 27025-2019"
"7.6.3","是","检测实验室不确定度评�","保留","markdown.zip/GB/T 27025-2019"
"7.7","是","”确保结果有效性","保留","markdown.zip/GB/T 27025-2019"
"7.7.1","是","内部质量控制","保留","markdown.zip/GB/T 27025-2019"
"7.7.2","是","外部质量保证","保留","markdown.zip/GB/T 27025-2019"
"7.7.3","否","","补录","markdown.zip/GB/T 27025-2019"
"7.8","是","报告结果","保留","markdown.zip/GB/T 27025-2019"
"7.8.1","是","总则","保留","markdown.zip/GB/T 27025-2019"
"7.8.1.1","是","结果准确清晰报告","保留","markdown.zip/GB/T 27025-2019"
"7.8.1.2","是","报告内容约�","保留","markdown.zip/GB/T 27025-2019"
"7.8.1.3","是","简化报告","保留","markdown.zip/GB/T 27025-2019"
"7.8.2","是","检测、校准或抽样) 报告的通用要求","保留","markdown.zip/GB/T 27025-2019"
"7.8.2.1","是","报告基本信息","保留","markdown.zip/GB/T 27025-2019"
"7.8.2.2","否","","补录","markdown.zip/GB/T 27025-2019"
"7.8.3","是","”检测报告的特定要求","保留","markdown.zip/GB/T 27025-2019"
"7.8.3.1","是","检测报告附加信息","保留","markdown.zip/GB/T 27025-2019"
"7.8.3.2","是","抽样检测报告信息","保留","markdown.zip/GB/T 27025-2019"
"7.8.4","是","校准证书的特定要求","保留","markdown.zip/GB/T 27025-2019"
"7.8.4.1","是","校准证书附加信息","保留","markdown.zip/GB/T 27025-2019"
"7.8.4.2","是","校准前后结果","保留","markdown.zip/GB/T 27025-2019"
"7.8.4.3","是","校准周期建议","保留","markdown.zip/GB/T 27025-2019"
"7.8.5","是","“报告抽样一一特定要求","保留","markdown.zip/GB/T 27025-2019"
"7.8.6","是","报告符合性声明","保留","markdown.zip/GB/T 27025-2019"
"7.8.6.1","是","符合性声明决策规则","保留","markdown.zip/GB/T 27025-2019"
"7.8.6.2","是","”实验室在报告符合性声明时应清晰标示","保留","markdown.zip/GB/T 27025-2019"
"7.8.7","是","”报告意见和解释","保留","markdown.zip/GB/T 27025-2019"
"7.8.7.1","是","意见解释授权","保留","markdown.zip/GB/T 27025-2019"
"7.8.7.2","是","意见解释依据","保留","markdown.zip/GB/T 27025-2019"
"7.8.7.3","是","口头意见解释记录","保留","markdown.zip/GB/T 27025-2019"
"7.8.8","是","报告修改","保留","markdown.zip/GB/T 27025-2019"
"7.8.8.1","是","报告修改标识","保留","markdown.zip/GB/T 27025-2019"
"7.8.8.2","是","报告修改重新发布","保留","markdown.zip/GB/T 27025-2019"
"7.8.8.3","是","新报告唯一标识","保留","markdown.zip/GB/T 27025-2019"
"7.9","是","投诉","保留","markdown.zip/GB/T 27025-2019"
"7.9.1","是","投诉过程","保留","markdown.zip/GB/T 27025-2019"
"7.9.2","是","投诉过程可获得性","保留","markdown.zip/GB/T 27025-2019"
"7.9.3","是","投诉处理过程应至少包括以下要素和方法","保留","markdown.zip/GB/T 27025-2019"
"7.9.4","是","投诉信息验证","保留","markdown.zip/GB/T 27025-2019"
"7.9.5","是","投诉进展和结果告知","保留","markdown.zip/GB/T 27025-2019"
"7.9.6","是","投诉结论独立性","保留","markdown.zip/GB/T 27025-2019"
"7.9.7","是","投诉正式通知","保留","markdown.zip/GB/T 27025-2019"
"7.10","是","不符合工作","保留","markdown.zip/GB/T 27025-2019"
"7.10.1","是","不符合工作程序","保留","markdown.zip/GB/T 27025-2019"
"7.10.2","是","不符合工作记录","保留","markdown.zip/GB/T 27025-2019"
"7.10.3","是","不符合再发生处理","保留","markdown.zip/GB/T 27025-2019"
"7.11","是","数据控制和信息管理","保留","markdown.zip/GB/T 27025-2019"
"7.11.1","是","数据和信息访问","保留","markdown.zip/GB/T 27025-2019"
"7.11.2","是","信息管理系统确认","保留","markdown.zip/GB/T 27025-2019"
"7.11.3","是","”实验室信息管理系统应","保留","markdown.zip/GB/T 27025-2019"
"7.11.4","是","外部信息系统管理","保留","markdown.zip/GB/T 27025-2019"
"7.11.5","是","数据完整性和系统故障","保留","markdown.zip/GB/T 27025-2019"
"7.11.6","是","计算和数据传输检查","保留","markdown.zip/GB/T 27025-2019"
"8","是","管理体系要求","保留","markdown.zip/GB/T 27025-2019"
"8.1","是","方式","保留","markdown.zip/GB/T 27025-2019"
"8.1.1","是","总则","保留","markdown.zip/GB/T 27025-2019"
"8.1.2","是","方式 A","保留","markdown.zip/GB/T 27025-2019"
"8.1.3","是","方式 B","保留","markdown.zip/GB/T 27025-2019"
"8.2","是","管理体系文件(方式 A)","保留","markdown.zip/GB/T 27025-2019"
"8.2.1","是","方针目标建立","保留","markdown.zip/GB/T 27025-2019"
"8.2.2","是","方针目标能力","保留","markdown.zip/GB/T 27025-2019"
"8.2.3","是","管理层承诺","保留","markdown.zip/GB/T 27025-2019"
"8.2.4","是","文件可获得性","保留","markdown.zip/GB/T 27025-2019"
"8.2.5","是","管理体系完整性","保留","markdown.zip/GB/T 27025-2019"
"8.3","是","管理体系文件的控制(方式 A)","保留","markdown.zip/GB/T 27025-2019"
"8.3.1","是","文件控制","保留","markdown.zip/GB/T 27025-2019"
"8.3.2","是","”实验室应确保","保留","markdown.zip/GB/T 27025-2019"
"8.4","是","记录控制(方式 A)","保留","markdown.zip/GB/T 27025-2019"
"8.4.1","是","记录建立和保存","保留","markdown.zip/GB/T 27025-2019"
"8.4.2","是","记录控制","保留","markdown.zip/GB/T 27025-2019"
"8.5","是","应对风险和机遇的措施(方式 A)","保留","markdown.zip/GB/T 27025-2019"
"8.5.1","是","风险机遇考虑","保留","markdown.zip/GB/T 27025-2019"
"8.5.2","是","”实验室应策划","保留","markdown.zip/GB/T 27025-2019"
"8.5.3","是","风险机遇措施相适应","保留","markdown.zip/GB/T 27025-2019"
"8.6","是","改进(方式 A)","保留","markdown.zip/GB/T 27025-2019"
"8.6.1","是","改进机会识别","保留","markdown.zip/GB/T 27025-2019"
"8.6.2","是","客户反馈","保留","markdown.zip/GB/T 27025-2019"
"8.7","是","”纠正措施(方式 A)","保留","markdown.zip/GB/T 27025-2019"
"8.7.1","是","不符合和纠正措施","保留","markdown.zip/GB/T 27025-2019"
"8.7.2","是","纠正措施适应性","保留","markdown.zip/GB/T 27025-2019"
"8.7.3","是","纠正措施记录","保留","markdown.zip/GB/T 27025-2019"
"8.8","是","内部审核 (方式 A)","保留","markdown.zip/GB/T 27025-2019"
"8.8.1","是","内部审核实施","保留","markdown.zip/GB/T 27025-2019"
"8.8.2","是","”实验室应","保留","markdown.zip/GB/T 27025-2019"
"8.9","是","管理评审","保留","markdown.zip/GB/T 27025-2019"
"8.9.1","是","管理评审实施","保留","markdown.zip/GB/T 27025-2019"
"8.9.2","是","管理评审输入","保留","markdown.zip/GB/T 27025-2019"
"8.9.3","是","管理评审输出","保留","markdown.zip/GB/T 27025-2019"

