training_item_id,topic,source_object,audience,trigger,required_before_effective,training_evidence,status,not_real_record
TRN-011,候选记录模板填写与更正规则,JL-6.6-01 外部服务与供应品评价记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-012,候选记录模板填写与更正规则,JL-7.1-01 合同评审记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-013,候选记录模板填写与更正规则,JL-7.2-01 方法验证/确认记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-014,候选记录模板填写与更正规则,JL-7.3-01 抽样条件启用评审记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-015,候选记录模板填写与更正规则,JL-7.4-01 样品接收与异常处置记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-016,候选记录模板填写与更正规则,JL-7.5-01 技术记录更正记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-017,候选记录模板填写与更正规则,JL-7.6-01 测量不确定度适用性评审记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-018,候选记录模板填写与更正规则,JL-7.7-01 结果有效性监控计划与评价记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-019,候选记录模板填写与更正规则,JL-7.8-01 报告复核与授权签发记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-020,候选记录模板填写与更正规则,JL-7.9-01 投诉处理记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-021,候选记录模板填写与更正规则,JL-7.10-01 不符合工作影响评价与恢复授权记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-022,候选记录模板填写与更正规则,JL-7.11-01 电子表格/软件适用性确认记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-023,候选记录模板填写与更正规则,JL-8.3-01 文件修订评审与发布记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-024,候选记录模板填写与更正规则,JL-8.4-01 记录归档与借阅记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-025,候选记录模板填写与更正规则,JL-8.5-01 风险和机遇措施跟踪记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-026,候选记录模板填写与更正规则,JL-8.6-01 改进建议与效果评价记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-027,候选记录模板填写与更正规则,JL-8.7-01 纠正措施记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-028,候选记录模板填写与更正规则,JL-8.8-01 内审计划、检查表与整改验证记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
TRN-029,候选记录模板填写与更正规则,JL-8.9-01 管理评审输入输出及跟踪记录,对应过程填写人员；复核人员；文件管理员,记录模板批准启用前,yes,模板填写说明、试填反馈、签核与保存规则确认,pending,yes
