release_item_id,source_action,object_type,doc_number,title,source_stage_file,current_status,current_publish,proposed_release_state,release_allowed_now,release_block_reason,required_review_source,training_required,old_version_action,lims_governance_action,qualification_scope_note
REL-011,reference_existing_current,current_procedure_reference,XZTC/CX-07-02-2022,防止商业贿赂程序,现用文件/程序文件/程序文件2022/07-02-2022防止商业贿赂程序.doc,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-012,reference_existing_current,current_procedure_reference,XZTC/CX-08-2022,文件控制程序,现用文件/程序文件/程序文件2022/08-2022文件控制程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-013,reference_existing_current,current_procedure_reference,XZTC/CX-09-2022,客户要求、标书、合同评审程序,现用文件/程序文件/程序文件2022/09-2022客户要求、标书、合同评审程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-014,reference_existing_current,current_procedure_reference,XZTC/CX-11-2022,外部支持服务和供应品管理程序,现用文件/程序文件/程序文件2022/11-2022外部支持服务和供应品管理程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-015,reference_existing_current,current_procedure_reference,XZTC/CX-12-2022,服务客户程序,现用文件/程序文件/程序文件2022/12-2022服务客户程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-016,reference_existing_current,current_procedure_reference,XZTC/CX-13-2022,内部沟通程序,现用文件/程序文件/程序文件2022/13-2022内部沟通程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-017,reference_existing_current,current_procedure_reference,XZTC/CX-14-2022,处理投诉程序,现用文件/程序文件/程序文件2022/14-2022处理投诉程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-018,reference_existing_current,current_procedure_reference,XZTC/CX-15-2022,不符合检测工作管理程序,现用文件/程序文件/程序文件2022/15-2022不符合检测工作管理程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-019,reference_existing_current,current_procedure_reference,XZTC/CX-16-2022,实施纠正措施程序,现用文件/程序文件/程序文件2022/16-2022实施纠正措施程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-020,reference_existing_current,current_procedure_reference,XZTC/CX-17-2022,实施预防措施程序,现用文件/程序文件/程序文件2022/17-2022实施预防措施程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-021,reference_existing_current,current_procedure_reference,XZTC/CX-18-2022,改进控制程序,现用文件/程序文件/程序文件2022/18-2022改进控制程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-022,reference_existing_current,current_procedure_reference,XZTC/CX-19-2022,记录控制程序,现用文件/程序文件/程序文件2022/19-2022记录控制程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-023,reference_existing_current,current_procedure_reference,XZTC/CX-20-2022,内部管理体系审核程序,现用文件/程序文件/程序文件2022/20-2022内部管理体系审核程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-024,reference_existing_current,current_procedure_reference,XZTC/CX-21-2022,管理评审程序,现用文件/程序文件/程序文件2022/21-2022管理评审程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-025,reference_existing_current,current_procedure_reference,XZTC/CX-22-2022,检测方法的选择与确认程序,现用文件/程序文件/程序文件2022/22-2022检测方法的选择与确认程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-026,reference_existing_current,current_procedure_reference,XZTC/CX-23-2022,允许方法偏离控制程序,现用文件/程序文件/程序文件2022/23-2022允许方法偏离控制程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-027,reference_existing_current,current_procedure_reference,XZTC/CX-24-2022,开展新项目评审程序,现用文件/程序文件/程序文件2022/24-2022开展新项目评审程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-028,reference_existing_current,current_procedure_reference,XZTC/CX-25-2022,检测工作控制程序,现用文件/程序文件/程序文件2022/25-2022检测工作控制程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-029,reference_existing_current,current_procedure_reference,XZTC/CX-26-2022,计算机文件及数据控制程序,现用文件/程序文件/程序文件2022/26-2022计算机文件及数据控制程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-030,reference_existing_current,current_procedure_reference,XZTC/CX-27-2022,测量不确定度的评审控制程序,现用文件/程序文件/程序文件2022/27-2022测量不确定度的评审控制程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-031,reference_existing_current,current_procedure_reference,XZTC/CX-28-2022,样品处置和管理程序,现用文件/程序文件/程序文件2022/28-2022样品处置和管理程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-032,reference_existing_current,current_procedure_reference,XZTC/CX-29-2022,结果报告管理程序,现用文件/程序文件/程序文件2022/29-2022结果报告管理程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-033,reference_existing_current,current_procedure_reference,XZTC/CX-30-2022,检测结果质量控制及能力验证程序,现用文件/程序文件/程序文件2022/30-2022检测结果质量控制及能力验证程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-034,reference_existing_current,current_procedure_reference,XZTC/CX-31-2022,检测工作的监督程序,现用文件/程序文件/程序文件2022/31-2022检测工作的监督程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-035,reference_existing_current,current_procedure_reference,XZTC/CX-32-2022,风险评估控制程序,现用文件/程序文件/程序文件2022/32-2022风险评估控制程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-036,reference_existing_current,current_procedure_reference,XZTC/CX-33-2022,内务与安全管理程序,现用文件/程序文件/程序文件2022/33-2022内务与安全管理程序.docx,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-037,reference_existing_current,current_procedure_reference,XZTC/CX-34-2022,内部监控管理程序,现用文件/程序文件/程序文件2022/34-2022内部监控管理程序.doc,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-038,reference_existing_current,current_procedure_reference,XZTC/CX-35-2022,抽样控制程序,现用文件/程序文件/程序文件2022/35-2022抽样控制程序.doc,published,1,current_reference_no_republish,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,catalog_awareness_only_if_changed,现行 2022 程序作为目录基线；本演练不重新发布,match_existing_current_document_only,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-039,reference_existing_attachment_form,numbered_attachment_form_pending,XZTC/CX-05-02-2022,仪器设备计量溯源结果确认表,现用文件/程序文件/程序文件2022/05-02-2022仪器设备计量溯源结果确认表.docx,draft,0,disposition_pending_no_release,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,pending_disposition,先确认 05-02 归属；未确认前不得发布或作废,hold_for_attachment_or_record_template_disposition,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-040,candidate_record_template_document,candidate_record_template_document,JL-4.1-01,公正性风险识别与处置记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-041,candidate_record_template_document,candidate_record_template_document,JL-4.2-01,保密承诺与权限确认记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-042,candidate_record_template_document,candidate_record_template_document,JL-5-01,岗位职责与授权确认表,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-043,candidate_record_template_document,candidate_record_template_document,JL-6.2-01,人员能力确认与授权记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-044,candidate_record_template_document,candidate_record_template_document,JL-6.3-01,环境条件监控与异常处置记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-045,candidate_record_template_document,candidate_record_template_document,JL-6.4-01,设备状态与期间核查记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-046,candidate_record_template_document,candidate_record_template_document,JL-6.5-01,计量溯源结果确认记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-047,candidate_record_template_document,candidate_record_template_document,JL-6.6-01,外部服务与供应品评价记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-048,candidate_record_template_document,candidate_record_template_document,JL-7.1-01,合同评审记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-049,candidate_record_template_document,candidate_record_template_document,JL-7.2-01,方法验证/确认记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-050,candidate_record_template_document,candidate_record_template_document,JL-7.3-01,抽样条件启用评审记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-051,candidate_record_template_document,candidate_record_template_document,JL-7.4-01,样品接收与异常处置记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-052,candidate_record_template_document,candidate_record_template_document,JL-7.5-01,技术记录更正记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-053,candidate_record_template_document,candidate_record_template_document,JL-7.6-01,测量不确定度适用性评审记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-054,candidate_record_template_document,candidate_record_template_document,JL-7.7-01,结果有效性监控计划与评价记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-055,candidate_record_template_document,candidate_record_template_document,JL-7.8-01,报告复核与授权签发记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-056,candidate_record_template_document,candidate_record_template_document,JL-7.9-01,投诉处理记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-057,candidate_record_template_document,candidate_record_template_document,JL-7.10-01,不符合工作影响评价与恢复授权记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-058,candidate_record_template_document,candidate_record_template_document,JL-7.11-01,电子表格/软件适用性确认记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-059,candidate_record_template_document,candidate_record_template_document,JL-8.3-01,文件修订评审与发布记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-060,candidate_record_template_document,candidate_record_template_document,JL-8.4-01,记录归档与借阅记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-061,candidate_record_template_document,candidate_record_template_document,JL-8.5-01,风险和机遇措施跟踪记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-062,candidate_record_template_document,candidate_record_template_document,JL-8.6-01,改进建议与效果评价记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-063,candidate_record_template_document,candidate_record_template_document,JL-8.7-01,纠正措施记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-064,candidate_record_template_document,candidate_record_template_document,JL-8.8-01,内审计划、检查表与整改验证记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
REL-065,candidate_record_template_document,candidate_record_template_document,JL-8.9-01,管理评审输入输出及跟踪记录,13-记录模板包-候选清单.md,draft,0,draft_template_to_controlled_after_human_approval,no,human_review_pending; controlled_release_rehearsal_only,human_review_pack; release_rehearsal_review,yes,先与现用表单匹配；经批准后再决定替换、并行或不启用,draft_metadata_only_until_human_approval,CMA 已取得；CNAS 申请中；不得表述为已取得 CNAS
